"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","372
001","12","3.550","16.7","58.3","8.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","372
001","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","36","3.824","63.9","27.8","2.8",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","372
002","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","58","3.830","65.5","29.3","1.7",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","373
001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","003
373","12","",".",".",".",".",".",".",".",".",".","91.7",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","57","",".",".",".",".",".",".",".",".",".","98.2",".",".",".",".",".","."
"","375
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
375","23","3.804","78.3","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","375
005","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
375","23","3.913","95.7",".",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","375
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar","Course Total","131","3.915","90.1","7.6","0.8",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondary Schl Math I","393
001","7","3.750","71.4",".",".","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"Teaching of English","396
001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"Teaching Pop Inst Mus 1","420
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","454
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","454
002","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","Course Total","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Health Education","457
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","463
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
002","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","Course Total","47","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","464
001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg in Elem School","Course Total","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","466
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","466
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","Course Total","5","***","","","","","","","","","","","","","","","",""
"Stdt Teaching-Music:Secndry","467
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 86 of 421",""
