"First Semester Hebrew","101
001","","21","3.881","76.2","23.8","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Third Semester Hebrew","201
001","","14","3.893","78.6","21.4","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Intro to Hebrew Literature","301
001","","7","3.929","85.7","14.3","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"HEBR-MOD
442","Dept. Total","","42","3.891","78.6","21.4","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","17","3.914","82.4","17.6","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","9","3.833","66.7","33.3","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","7","3.923","85.7","14.3","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","7","3.929","85.7","14.3","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","40","3.899","80.0","20.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","42","3.891","78.6","21.4","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
