"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","24","3.917","95.8",".",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","100
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","20","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","18","3.778","66.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","20","3.750","90.0",".","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","100
008","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","164","3.887","87.2","9.1","1.2","1.2","0.6",".","0.6",".",".",".",".",".",".",".",".","."
"","104
002","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","004
104","13","3.417","23.1","53.8",".","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"","005
104","12","3.409","16.7","50.0","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","56","3.726","58.9","26.8","3.6","3.6","1.8",".",".","5.4",".",".",".",".",".",".",".","."
"","107
001","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
107","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
107","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
004","21","3.571","61.9","9.5","19.0",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","107
006","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
007","19","3.842","78.9","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","107
008","22","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".","4.5","4.5",".","."
"Introduction to Digital Forms","Course Total","144","3.810","72.9","17.4","6.3","0.7","1.4",".",".",".",".",".",".",".","0.7","0.7",".","."
"Foundations of Contemp Art","108
001","149","3.738","67.8","23.5","6.0","0.7",".","0.7","1.3",".",".",".",".",".",".",".",".","."
"","112
001","20","3.750","60.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","20","3.875","85.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","18","3.833","83.3","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","005
112","19","3.053","26.3","42.1","5.3","10.5","5.3",".","10.5",".",".",".",".",".",".",".",".","."
"","112
006","21","3.429","52.4","23.8","9.5","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","007
112","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
008","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","153","3.680","66.0","22.9","3.9","3.3","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"","212
001","13","3.769","84.6",".","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","002
212","13","3.769","84.6",".","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","003
212","13","3.692","84.6",".","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","212
004","11","3.591","81.8","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","50","3.710","84.0","2.0","6.0",".","4.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"Sculpture I","214
001","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
224","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
