"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"470
Contemp Political Discourse","001","","43","3.475","30.2","46.5","11.6",".","2.3",".","2.3",".",".",".",".",".","7.0",".",".","."
"476
Nature of Criticism","001","","39","3.667","64.1","25.6","2.6",".","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"509
Digital Media & Political Comm","001","","46","3.543","30.4","47.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"547
Digital Game Cultures","001","","21","3.524","52.4","14.3","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"552
American Cinema Since 1970","001","","69","3.134","13.0","43.5","23.2","5.8","5.8","4.3","1.4",".",".",".",".",".",".","2.9",".","."
"556
Am Film Inds-Studio Sys Era","001","","17","3.676","64.7","11.8","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"565
Communictn&Interethnc Behav","001","","43","3.384","30.2","39.5","11.6","14.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"577
Dynamics of Online Relatnshps","001","","20","2.925","10.0","25.0","35.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"608
Spec Tpcs:Media & Cultural St","001","","46","3.250","17.4","41.3","34.8",".","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"609","001","","17","3.765","64.7","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"609","002","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","Course Total","","26","3.788","65.4","30.8",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"613","001","","18","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","002","","21","3.375","4.8","61.9","28.6",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Special Topics in Film","Course Total","","39","3.355","10.3","48.7","38.5",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"614
Field Exper in Communicatn","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Secnd Fld Exp-Communication","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"655
German Film","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"664
Classical Film Theory","002","","14","3.577","50.0","21.4","7.1","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902
Film Colloquium","001","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"903
Media&Cultural Studies Colloq","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"904
Communicatn Science Colloq","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"905
Rhetoric Colloquium","001","","16","",".",".",".",".",".",".",".","93.8",".",".",".",".","6.3",".",".","."
"950
Smr-Radio-Tv-Film","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"967
Probs-Com & Public Address","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"969
Smr-Contemp Rhetorical Thry","001","","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"976
Seminar-Rhetorical Criticism","001","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
