"","440
004
2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LACIS","Course Total
8","3.313","37.5","25.0","12.5","12.5","12.5","",".","",".","",".","",".",".",".",".",".",".",".","."
"Directed Study","699
001
1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982
001
3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"LACIS
525","17
Dept. Total","3.591","58.8","17.6","11.8","5.9","5.9","",".","",".","",".","",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","4","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","10","3.344","40.0","20.0","20.0","10.0","10.0","",".","",".","",".","",".",".",".",".",".",".",".","."
"Graduate","7","3.935","85.7","14.3",".",".",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"","Dept. Total
17","3.591","58.8","17.6","11.8","5.9","5.9","",".","",".","",".","",".",".",".",".",".",".",".","."
