"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Engineerng Economc Analysis","313","001","122","3.365","27.0","37.7","23.0","7.4","4.1","0.8",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","59","3.737","66.1","23.7","6.8","1.7",".","1.7",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","41","3.695","61.0","22.0","12.2","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","18","3.722","72.2","5.6","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","23","3.674","52.2","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","41","3.695","61.0","22.0","12.2","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","40","3.088","35.0","10.0","25.0","12.5","12.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","84","3.512","23.8","58.3","15.5","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","47","3.681","53.2","31.9","12.8","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","49","3.459","24.5","49.0","20.4","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","450","001","28","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","31","3.435","51.6","9.7","22.6","12.9",".","3.2",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","48","3.573","43.8","31.3","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","55","3.973","96.4","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","13","3.269","53.8",".","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Linear Programming","526","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Factors Engineering","549","001","29","3.690","48.3","48.3",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","601","002","18","3.471","44.4","27.8","11.1","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"","601","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","005","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","006","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","78","3.768","80.8","12.8","2.6","1.3",".","1.3",".","1.3",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","18","3.528","44.4","27.8","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","21","3.333","38.1","23.8","14.3","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","22","3.750","59.1","18.2","13.6",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Engineering Supply Chains","645","001","33","3.621","45.5","33.3","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","31","3.774","64.5","25.8","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
