"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM
758","Dept. Total","","69","3.951","39.1","",".","1.4","",".","",".","",".","",".","53.6","",".",".","",".","1.4","",".",".","4.3","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","7","3.800","85.7","",".","14.3","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","15","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","22","3.945","95.5","",".","4.5","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","45","4.000","13.3","",".",".","",".","",".","",".","",".","77.8","",".",".","",".","2.2","",".",".","6.7","."
"Prof Yr 3","","","1","***","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","","","1","***","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","","2","***","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","","69","3.951","39.1","",".","1.4","",".","",".","",".","",".","53.6","",".",".","",".","1.4","",".",".","4.3","."
