"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"","990
066","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Research","Course Total","71","",".",".",".",".",".",".",".","74.6","",".",".","",".","25.4",".",".",".","."
"PSYCH
820","Dept. Total","4783","3.220","36.6","18.2","20.6","8.6","9.4","2.4","1.0","1.3","",".",".","",".","1.1","0.2","0.0","0.5","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1012","3.132","29.1","17.4","27.6","10.6","10.8","3.3","0.5",".","",".",".","",".",".",".",".","0.9","."
"Sophomore","","1119","3.097","31.2","19.1","20.6","12.3","11.8","2.8","1.6","0.2","",".",".","",".",".","0.2",".","0.3","."
"Junior","","1029","3.184","35.1","19.5","21.6","8.6","11.6","2.4","1.1","0.1","",".",".","",".",".",".",".",".","."
"Senior","","1328","3.381","45.6","20.0","17.7","5.2","6.5","2.0","0.8","0.1","",".",".","",".","1.6","0.3","0.1","0.2","."
"Undergraduates","","4488","3.210","35.9","19.1","21.5","9.0","9.9","2.6","1.0","0.1","",".",".","",".","0.5","0.1","0.0","0.3","."
"Special","","48","2.909","25.0","4.2","14.6","8.3","4.2","4.2","4.2","10.4","",".",".","",".",".",".","2.1","22.9","."
"Graduate","","246","3.762","52.0","4.9","4.5","1.6","0.4",".",".","21.5","",".",".","",".","13.0","1.2",".",".","0.8"
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","4783","3.220","36.6","18.2","20.6","8.6","9.4","2.4","1.0","1.3","",".",".","",".","1.1","0.2","0.0","0.5","0.0"
