"","999
129","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
132","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
163","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"DMA Recital","Course Total","38","3.986","78.9","2.6",".",".",".","",".",".","",".","",".",".","",".","",".","18.4",".",".","."
"MUS PERF
664","Dept. Total","428","3.892","83.2","8.4","4.2","0.5","0.7","",".","0.2","",".","",".",".","",".","",".","2.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","38","3.694","63.2","18.4","10.5","2.6","2.6","",".",".","",".","",".",".","",".","",".","2.6",".",".","."
"Sophomore","","62","3.734","71.0","17.7","8.1",".","1.6","",".","1.6","",".","",".",".","",".","",".",".",".",".","."
"Junior","","61","3.876","85.2","8.2","3.3","1.6","1.6","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","104","3.951","89.4","6.7","1.9",".",".","",".",".","",".","",".",".","",".","",".","1.9",".",".","."
"Undergraduates","","265","3.850","80.4","11.3","4.9","0.8","1.1","",".","0.4","",".","",".",".","",".","",".","1.1",".",".","."
"Special","","6","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","157","3.940","87.3","3.8","3.2",".",".","",".",".","",".","",".",".","",".","",".","5.7",".",".","."
"","Dept. Total","428","3.892","83.2","8.4","4.2","0.5","0.7","",".","0.2","",".","",".",".","",".","",".","2.8",".",".","."
