"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care II","577
001","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","75","3.372","22.7","38.7","29.3","5.3","2.7",".",".",".",".",".",".",".","1.3",".",".","."
"Food Animal Medicine","634
001","76","3.193","14.5","22.4","51.3","7.9","2.6",".",".",".",".",".",".",".","1.3",".",".","."
"Small Animal Neurology","667
001","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","21","4.000","61.9",".",".",".",".",".",".","38.1",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","14","4.000","7.1",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","."
"","670
001","43","4.000","7.0",".",".",".",".",".",".","93.0",".",".",".",".",".",".",".","."
"","670
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","44","4.000","6.8",".",".",".",".",".",".","93.2",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","30","3.714","43.3",".",".",".",".",".","3.3","36.7",".",".",".",".",".",".","16.7","."
"","675
001","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"","675
002","26","4.000","53.8",".",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"","675
004","18","",".",".",".",".",".",".",".","94.4",".",".",".",".","5.6",".",".","."
"","675
005","59","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
675","15","4.000","46.7",".",".",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"","675
008","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
010","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","675
026","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","159","4.000","60.4",".",".",".",".",".",".","39.0",".",".",".",".","0.6",".",".","."
"Small Animal Internal Med","678
001","40","4.000","57.5",".",".",".",".",".",".","42.5",".",".",".",".",".",".",".","."
"","679
001","9","4.000","55.6",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","679
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Oncology","Course Total","10","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","699
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","11","4.000","72.7",".",".",".",".",".",".","18.2",".",".",".",".",".",".","9.1","."
"","775
001","25","",".",".",".",".",".",".",".","84.0",".",".",".",".",".",".","16.0","."
"","775
002","16","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".","12.5","."
"","775
003","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","004
775","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"Externship","Course Total","55","",".",".",".",".",".",".",".","87.3",".",".",".",".",".",".","12.7","."
