"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","",""
"Senior","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","66","4.000","81.8",".",".",".",".","",".",".","16.7","",".",".","",".","",".","1.5",".",".","."
"Prof Yr 2","14","4.000","28.6",".",".",".",".","",".",".","71.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","254","3.294","11.8","17.7","23.2","3.9","1.6","",".",".","40.9","",".",".","",".","",".","0.8",".",".","."
"Prof Yr 4","312","3.923","33.0","0.3","0.3",".",".","",".","0.3","61.9","",".",".","",".","",".",".",".","4.2","."
"Professionals","646","3.458","29.6","7.1","9.3","1.5","0.6","",".","0.2","49.2","",".",".","",".","",".","0.5",".","2.0","."
