"INTERDIS COURSES (SOHE)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","",""
"201
Ecology of Human Happiness","001","","84","3.458","33.3","40.5","17.9","3.6","3.6","1.2",".",".",".",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"300
Nonprofit Sector: Overview","002","","34","3.588","47.1","29.4","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"335
Communicating-Key Audiences","001","","46","3.891","87.0","6.5","4.3","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"345
Strategic Plan-Nonprofit Orgs","001","","34","3.779","58.8","38.2","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
Community Iss & Serv Learng","001","","29","3.810","65.5","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","18","3.583","72.2","16.7",".",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"375","002","","30","3.683","66.7","16.7","6.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","48","3.655","68.8","16.7","4.2","4.2","4.2",".","2.1",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"428
Prgm Planning-Fam&Consmr Ed","001","","64","3.805","67.2","28.1","3.1","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"460
Leadership&Mgt-Nonprofit Orgs","001","","47","3.585","38.3","46.8","10.6","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"501","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","14","3.962","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"501","006","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","47","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Community Based Resrch & Eval","001","","35","3.743","68.6","28.6",".",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
