"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","120
003","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
004","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
120","23","3.870","91.3",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","120
006","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
120","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
008","24","3.813","83.3","8.3",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","120
009","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
012","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
120","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
015","23","3.717","69.6","13.0","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","120
016","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
120","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
120","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
120","24","3.917","91.7","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","020
120","23","3.717","78.3","8.7","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"","120
022","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","023
120","15","3.600","53.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","024
120","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
025","18","3.667","72.2","11.1","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","026
120","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
027","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","028
120","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
029","24","3.792","83.3","4.2","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","030
120","23","3.761","73.9","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","551","3.882","86.6","7.4","3.6","1.3","0.7","0.4",".",".",".",".",".",".",".",".",".","."
"","130
001","24","3.938","95.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
130","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
130","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
004","25","3.760","80.0","12.0",".","4.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"","005
130","24","3.854","87.5","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","130
006","25","3.900","88.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","130
007","26","3.769","65.4","26.9","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","008
130","22","3.682","72.7","18.2","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","130
009","24","3.792","79.2","12.5",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","012
130","26","3.904","88.5","3.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
013","20","3.600","75.0","10.0","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","130
014","23","3.977","91.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","4.3"
"","130
015","22","3.636","63.6","18.2","13.6",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","130
016","22","3.091","50.0","9.1","9.1","9.1","13.6",".","9.1",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","330","3.769","79.1","10.6","4.2","2.1","1.8","0.6","1.2",".",".",".",".",".",".",".",".","0.3"
"Facilitation in Peer Env","043
140","37","3.892","83.8","13.5",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","27","3.519","29.6","48.1","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","25","3.620","64.0","28.0",".",".","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"","300
004","27","3.870","74.1","25.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
