"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","2824","3.226","29.5","23.6","20.2","10.2","6.3","2.2","1.0","4.3","",".","0.5","",".","0.5","0.6","0.1","1.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","515","2.978","17.7","21.6","26.0","19.2","11.8","3.1","0.6",".","",".",".","",".",".",".",".",".","."
"Sophomore","","757","3.187","25.1","30.3","23.5","10.8","6.2","2.2","1.7",".","",".",".","",".",".",".",".","0.1","."
"Junior","","602","3.280","34.1","26.4","21.6","7.3","5.6","3.3","1.0","0.2","",".",".","",".",".","0.5",".",".","."
"Senior","","624","3.354","40.1","22.4","18.1","9.3","5.4","1.4","1.1","0.3","",".",".","",".","0.2","1.1","0.3",".","0.2"
"Undergraduates","","2498","3.200","29.5","25.6","22.2","11.3","7.0","2.5","1.2","0.1","",".",".","",".","0.0","0.4","0.1","0.0","0.0"
"Special","","43","3.485","32.6","20.9","18.6","2.3","2.3",".",".","11.6","",".",".","",".",".",".",".","11.6","."
"Graduate","","283","3.792","29.7","6.4","2.5","1.8",".",".",".","39.9","",".","4.6","",".","4.2","2.5",".","8.5","."
"","Dept. Total","2824","3.226","29.5","23.6","20.2","10.2","6.3","2.2","1.0","4.3","",".","0.5","",".","0.5","0.6","0.1","1.1","0.0"
