"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","311","3.121","26.4","21.9","20.3","17.0","12.5","0.6","1.0",".",".",".",".",".","0.3",".",".","."
"","002
103","246","3.004","19.1","20.3","23.2","20.3","15.0","1.2","0.4","0.4",".",".",".",".",".",".",".","."
"","003
103","131","3.050","15.3","27.5","23.7","19.1","13.0","0.8",".",".",".",".",".",".","0.8",".",".","."
"General Physics","Course Total","688","3.066","21.7","22.4","21.9","18.6","13.5","0.9","0.6","0.1",".",".",".",".","0.3",".",".","."
"","104
001","280","3.145","22.5","22.5","26.1","21.4","6.4",".","0.7",".",".",".",".",".","0.4",".",".","."
"","002
104","106","3.063","16.0","23.6","28.3","20.8","8.5",".","0.9","0.9",".",".",".",".","0.9",".",".","."
"General Physics","Course Total","386","3.123","20.7","22.8","26.7","21.2","7.0",".","0.8","0.3",".",".",".",".","0.5",".",".","."
"Ideas of Modern Physics","107
001","68","3.258","25.0","14.7","42.6","14.7",".",".",".",".",".",".",".",".","1.5",".","1.5","."
"","109
001","136","3.316","34.6","28.7","14.7","12.5","8.1","1.5",".",".",".",".",".",".",".",".",".","."
"","109
002","100","3.412","31.0","35.0","21.0","3.0","7.0",".",".",".",".",".",".",".",".",".","3.0","."
"Physics in the Arts","Course Total","236","3.356","33.1","31.4","17.4","8.5","7.6","0.8",".",".",".",".",".",".",".",".","1.3","."
"Energy","115
001","141","3.326","32.6","14.9","41.8","6.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"","199
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"General Physics","201
001","330","2.860","17.6","18.5","18.5","18.5","21.2","5.2",".",".",".",".",".",".","0.6",".",".","."
"","202
001","304","2.873","15.5","16.4","23.4","18.1","25.3","1.0",".",".",".",".",".",".","0.3",".",".","."
"","202
002","200","2.857","17.5","15.5","22.0","15.0","27.5","1.5","0.5",".",".",".",".",".","0.5",".",".","."
"General Physics","Course Total","504","2.867","16.3","16.1","22.8","16.9","26.2","1.2","0.2",".",".",".",".",".","0.4",".",".","."
"Mod Physics for Engineers","205
001","25","3.140","36.0",".","40.0","4.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Physics","206
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"General Physics","207
001","287","2.949","16.4","18.5","29.6","17.4","14.6","1.0","1.7",".",".",".",".",".","0.7",".",".","."
"General Physics","208
001","189","3.157","22.2","22.8","31.2","16.9","3.7","2.1","0.5",".",".",".",".",".","0.5",".",".","."
"Intro-Solid State Electronics","235
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","57","2.973","8.8","28.1","36.8","15.8","3.5","1.8","3.5",".",".",".",".",".",".",".","1.8","."
"A Modern Intro to Physics","247
010","65","2.961","26.2","15.4","18.5","16.9","16.9","1.5","3.1",".",".",".",".",".",".",".","1.5","."
"A Modern Intro to Physics","249
001","46","3.198","17.4","21.7","41.3","6.5","6.5",".",".",".",".",".",".",".",".",".","2.2","4.3"
"","299
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","307
001","37","3.838","75.7","18.9","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","34","3.941","91.2","5.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","71","3.887","83.1","12.7","2.8","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","49","3.177","32.7","12.2","28.6","14.3","8.2",".","2.0",".",".",".",".",".",".",".","2.0","."
"Elect Circuits & Electronic","321
001","37","3.069","21.6","27.0","8.1","29.7","8.1","2.7",".",".",".",".",".",".",".","2.7",".","."
"Electromagnetic Fields","322
001","49","3.184","28.6","16.3","40.8","4.1","4.1","6.1",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","34","3.426","38.2","23.5","26.5","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448
001","49","2.978","38.8","10.2","12.2","10.2","10.2","6.1","6.1",".",".",".",".",".",".",".",".","6.1"
"Directed Study","499
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","10","3.450","20.0","60.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Atomic Structure","545
001","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lasers","546
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
