"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","6","3.923","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","12","3.920","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","19","3.925","84.2","15.8",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","27","4.000","55.6",".",".",".","",".","",".","",".","33.3","",".",".","",".","11.1",".",".",".","."
"Prof Yr 1","149","3.638","51.7","30.9","10.7","6.7","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","4","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","134","4.000","99.3",".",".",".","",".","",".","",".",".","",".",".","",".",".","0.7",".",".","."
"Professionals","287","3.776","74.6","16.0","5.6","3.5","",".","",".","",".",".","",".",".","",".",".","0.3",".",".","."
