"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","140","3.907","89.3","7.1",".","2.9","0.7",".",".",".",".",".",".",".",".",".",".","."
"","002
301","145","3.903","86.9","9.0","1.4","0.7","1.4",".",".",".",".",".",".",".","0.7",".",".","."
"","003
301","90","3.792","76.7","12.2","4.4","2.2","3.3",".",".","1.1",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","375","3.878","85.3","9.1","1.6","1.9","1.6",".",".","0.3",".",".",".",".","0.3",".",".","."
"","320
001","128","3.727","63.3","24.2","7.8","3.9","0.8",".",".",".",".",".",".",".",".",".",".","."
"","002
320","119","3.744","64.7","19.3","11.8","2.5",".",".",".","0.8",".",".",".",".","0.8",".",".","."
"Human Dev-Infancy&Childhood","Course Total","247","3.735","64.0","21.9","9.7","3.2","0.4",".",".","0.4",".",".",".",".","0.4",".",".","."
"Human Develop-Adolescence","321
001","118","3.603","45.8","38.1","9.3","3.4","1.7","0.8",".",".",".",".",".",".","0.8",".",".","."
"Mind, Brain and Education","326
001","103","3.559","40.8","43.7","3.9","8.7","1.0","1.0",".","1.0",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","57","3.571","45.6","29.8","17.5","1.8","3.5",".",".",".",".",".",".",".","1.8",".",".","."
"","506
001","19","3.944","89.5",".","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"","506
002","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","8","2.929","37.5",".","25.0","12.5",".",".","12.5",".",".",".",".",".","12.5",".",".","."
"","506
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","51","3.755","74.5","9.8","7.8","2.0",".",".","2.0",".",".",".",".",".","2.0","2.0",".","."
"Intro to Prof School Psych","540
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","18","3.556","55.6","11.1","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
029","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
031","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","41","4.000","97.6",".",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Smr-Research in Ed Psych I","709
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
022","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
023","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
025","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","23","3.974","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Development","720
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","16","3.800","56.3","37.5",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Socl, Emotionl&Behav Assessmnt","741
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","46","3.750","67.4","15.2","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","65","3.800","72.3","15.4","12.3",".",".",".",".",".",".",".",".",".",".",".",".","."
