"L&S","","","","","","","","","","","","","","","","","","","","",""
"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","",""
"GERMAN
424","Dept. Total","871","3.628","61.3","14.7","12.4","2.0","2.0","1.6","0.6","3.0","",".","0.3","",".","1.3","0.7",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","146","3.596","56.2","22.6","13.0","3.4","2.1","1.4","0.7",".","",".",".","",".",".",".",".","0.7","."
"Sophomore","","167","3.657","64.1","15.6","15.0","1.2","2.4","0.6","0.6",".","",".",".","",".",".","0.6",".",".","."
"Junior","","180","3.582","65.0","12.2","15.6","2.8","0.6","2.2","1.7",".","",".",".","",".",".",".",".",".","."
"Senior","","213","3.580","58.2","16.9","15.5","2.3","3.3","1.9",".","0.9","",".",".","",".","0.5","0.5",".",".","."
"Undergraduates","","706","3.603","60.9","16.6","14.9","2.4","2.1","1.6","0.7","0.3","",".",".","",".","0.1","0.3",".","0.1","."
"Special","","28","3.535","46.4","7.1","3.6",".","7.1","3.6",".","25.0","",".",".","",".","3.6",".",".","3.6","."
"Graduate","","136","3.900","66.9","6.6","1.5",".",".","0.7",".","12.5","",".","2.2","",".","6.6","2.9",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","871","3.628","61.3","14.7","12.4","2.0","2.0","1.6","0.6","3.0","",".","0.3","",".","1.3","0.7",".","0.2","."
