"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","75","3.393","29.3","36.0","22.7","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"121
Horticulture Colloquium","001","","24","3.688","75.0","4.2","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"234
Ornamental Plants","001","","14","3.500","57.1","21.4",".","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"261
Turf Management","001","","11","3.350","27.3","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".","9.1","."
"263
Landscape Plants I","001","","15","2.933","13.3","33.3","13.3","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"309
Diseases of Trees and Shrubs","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","22","3.318","31.8","27.3","27.3",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"350
Plants and Human Wellbeing","001","","29","3.833","58.6","20.7","3.4",".",".",".",".","17.2",".",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","35","3.044","37.1","14.3","2.9","17.1","20.0","5.7",".","2.9",".",".",".",".",".",".",".","."
"374
Tropical Horticulture","001","","30","3.661","56.7","16.7","13.3","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"399","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"571","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"571","002","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","4.000","55.6",".",".",".",".",".",".",".",".",".",".",".","44.4",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Horticulture Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"811
Biometric Proc-Plnt Breedng","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","005","","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"957
Seminar-Plant Breeding","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
