"Elem Prose Composition","505
001","9","3.667","44.4","44.4","11.1",".",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"Roman Satire","523
001","16","3.750","56.3","25.0",".","6.3",".",".","",".",".",".","",".",".","",".","","12.5",".",".","."
"Directed Study","699
014","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individual Research Thesis","890
041","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LATIN
524","Dept. Total","138","3.289","34.8","24.6","15.9","12.3","6.5","2.2","",".","2.2","",".",".","",".","",".","1.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","41","3.232","34.1","17.1","19.5","19.5","9.8",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","27","3.033","18.5","29.6","18.5","22.2","3.7","7.4","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","23","3.360","43.5","21.7","17.4","4.3","13.0",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","17","3.265","23.5","17.6","23.5","11.8","5.9",".","",".","11.8","",".",".","",".","",".","5.9",".",".","."
"Undergraduates","","108","3.211","30.6","21.3","19.4","15.7","8.3","1.9","",".","1.9","",".",".","",".","",".","0.9",".",".","."
"Special","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","27","3.781","55.6","33.3","3.7",".",".",".","",".","3.7","",".",".","",".","",".","3.7",".",".","."
"","Dept. Total","138","3.289","34.8","24.6","15.9","12.3","6.5","2.2","",".","2.2","",".",".","",".","",".","1.4",".",".","."
