"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","137","3.263","24.1","28.5","29.9","12.4","4.4","0.7",".",".",".",".",".",".",".",".",".","."
"","300
002","135","3.141","19.3","25.9","32.6","14.1","5.2","3.0",".",".",".",".",".",".",".",".",".","."
"","003
300","135","3.138","17.0","20.0","43.7","10.4","8.1",".",".","0.7",".",".",".",".",".",".",".","."
"Operations Management","Course Total","407","3.181","20.1","24.8","35.4","12.3","5.9","1.2",".","0.2",".",".",".",".",".",".",".","."
"Principles & Tech-Qual Mgmt","351
001","35","3.914","88.6","5.7","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Approaches","370
001","43","3.475","18.6","55.8","14.0","4.7",".",".",".","2.3",".",".",".",".",".","4.7",".","."
"Operations Research I","410
001","31","3.629","35.5","54.8","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","11","3.364","27.3","18.2","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","9","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","20","3.375","30.0","15.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
001","19","3.447","21.1","47.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","18","3.375","33.3","16.7","22.2","16.7",".",".",".","5.6","5.6",".",".",".",".",".",".","."
"","451
002","25","3.400","24.0","40.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","Course Total","43","3.390","27.9","30.2","25.6","11.6",".",".",".","2.3","2.3",".",".",".",".",".",".","."
"Operations Research I","710
001","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","26","3.750","53.8","42.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732
031","38","3.539","36.8","39.5","18.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758
001","29","3.724","51.7","41.4","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
770","15","3.433","13.3","60.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Approaches","Course Total","25","3.620","40.0","44.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
157","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
