"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","79","3.039","21.5","27.8","17.7","15.2","10.1","1.3","3.8","2.5",".",".",".",".",".",".",".","."
"","101
002","129","2.988","13.2","27.9","25.6","19.4","10.1","3.1","0.8",".",".",".",".",".",".",".",".","."
"","003
101","75","3.273","30.7","21.3","32.0","9.3","5.3",".","1.3",".",".",".",".",".",".",".",".","."
"","101
101","116","3.543","49.1","28.4","13.8","2.6","5.2",".","0.9",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","399","3.214","28.6","26.8","21.8","11.8","7.8","1.3","1.5","0.5",".",".",".",".",".",".",".","."
"","104
001","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
104","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","20","3.475","30.0","45.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics:Philos-Freshmen","Course Total","52","3.567","40.4","38.5","17.3","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"The Meaning of Life","141
001","30","3.350","33.3","23.3","26.7","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","210
001","73","2.952","32.9","15.1","19.2","8.2","13.7","5.5","5.5",".",".",".",".",".",".",".",".","."
"","210
002","19","2.789","21.1","21.1","10.5","21.1","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","101
210","79","3.620","57.0","22.8","12.7","2.5","5.1",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","171","3.256","42.7","19.3","15.2","7.0","9.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"","211
001","69","3.441","33.3","40.6","14.5","2.9","5.8","1.4",".",".",".",".",".",".","1.4",".",".","."
"","211
002","79","3.266","48.1","21.5","11.4","1.3","8.9","3.8","5.1",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","148","3.347","41.2","30.4","12.8","2.0","7.4","2.7","2.7",".",".",".",".",".","0.7",".",".","."
"Philosophy and the Sciences","220
001","45","2.933","13.3","22.2","26.7","22.2","11.1","4.4",".",".",".",".",".",".",".",".",".","."
"","241
001","74","3.342","24.3","33.8","28.4","9.5","2.7",".",".",".",".",".",".",".","1.4",".",".","."
"","002
241","73","2.904","19.2","23.3","17.8","17.8","15.1","4.1","2.7",".",".",".",".",".",".",".",".","."
"","101
241","75","3.613","50.7","29.3","14.7","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","222","3.290","31.5","28.8","20.3","9.9","6.8","1.4","0.9",".",".",".",".",".","0.5",".",".","."
"Ethics in Business","243
001","57","3.391","17.5","47.4","26.3","3.5","1.8",".",".","1.8",".",".",".",".","1.8",".",".","."
"","304
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Philosophy-Humanities","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","76","3.378","30.3","30.3","27.6","3.9","3.9","1.3",".",".",".",".",".",".",".",".","1.3","1.3"
"","341
091","19","3.316","47.4","21.1","10.5","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","341
092","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","20","3.868","70.0","25.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","102
341","134","3.451","26.1","46.3","23.1","2.2","1.5","0.7",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","269","3.474","34.2","37.9","20.4","3.0","2.2","0.7","0.4",".",".",".",".",".","0.4",".","0.4","0.4"
"Hist of Ancient Philosophy","430
001","50","3.000","26.0","28.0","14.0","8.0","8.0","2.0","8.0","4.0",".",".",".",".","2.0",".",".","."
"","432
001","26","2.981","15.4","30.8","23.1","19.2","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"","002
432","21","3.071","9.5","38.1","33.3","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","Course Total","47","3.021","12.8","34.0","27.7","12.8","6.4","4.3","2.1",".",".",".",".",".",".",".",".","."
"Classical Philosophers","464
001","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Tops-Theory of Knowldg","504
001","12","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Justice and Health Care","505
001","10","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Symbolic Logic","511
001","13","3.000",".","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","22","3.100","27.3","4.5","45.5","4.5","4.5",".","4.5",".",".",".",".",".","9.1",".",".","."
"Philosophy and Economics","524
001","12","3.375","33.3","25.0","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
