"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"Tech Communications Intrshp","398
001","","12","3.682","33.3","58.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Engr Applicatns of Statistics","416
001","","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Editing","497
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Adv Technical Japanese Smr","603
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","","24","3.750","54.2","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design II","623
001","","13","3.417","38.5","30.8","15.4",".",".","7.7",".",".",".",".",".",".","7.7",".",".","."
"Engine Fluid Dynamics","625
001","","29","3.948","96.6",".",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","641
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","641
003","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","641
004","","8","3.563","75.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Essential Skills-Engr Prod","Course Total","","29","3.862","89.7","6.9",".",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Engineering","642
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine-Powertrn Tech&Manufact","644
001","","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Teaching in Science & Engr","654
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
001","","11","3.500","54.5","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","660
003","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Core Comp of Sustainability","Course Total","","19","3.658","68.4","15.8","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Sustainable Systems Capstone","669
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
690","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","44","3.952","93.2","4.5","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
