"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"599","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"599","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","37","4.000","94.6",".",".",".",".",".",".",".",".",".",".",".","5.4",".",".","."
"660
Intmed Problems in ChE","001","","27","3.423","14.8","55.6","22.2","3.7",".",".",".",".",".",".",".",".","3.7",".",".","."
"699
Adv Independent Studies","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"710
Adv ChE Thermodynamic","001","","29","3.796","55.2","37.9",".",".",".",".",".",".",".",".",".",".","6.9",".",".","."
"735
Kinetics and Catalysis","001","","27","3.727","51.9","37.0","7.4",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"781
Molecules, Cells, & Systems","001","","17","3.656","64.7","5.9","17.6",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"890","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","53","",".",".",".",".",".",".",".","77.4",".",".",".","22.6",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar-Chem Engineering","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
