"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","393","3.047","19.1","21.6","28.0","17.8","11.2","1.8","0.5",".",".",".",".",".",".",".",".","."
"","101
002","415","3.101","25.5","22.2","25.1","15.9","5.3","4.8","1.2",".",".",".",".",".",".",".",".","."
"","101
003","322","3.167","24.8","23.9","26.1","13.0","9.9","1.9",".","0.3",".",".",".",".",".",".",".","."
"","004
101","323","3.055","14.6","20.1","37.8","20.4","4.6","1.2","0.6","0.3",".",".",".",".","0.3",".",".","."
"Principles-Microeconomics","Course Total","1453","3.091","21.2","22.0","28.9","16.8","7.8","2.5","0.6","0.1",".",".",".",".","0.1",".",".","."
"","102
001","235","2.864","14.5","17.0","23.8","24.7","15.7","4.3",".",".",".",".",".",".",".",".",".","."
"","002
102","149","2.953","23.5","16.8","20.1","20.8","12.1","4.0","2.0",".",".",".",".",".",".","0.7",".","."
"","102
003","274","3.000","23.4","16.4","20.4","20.1","17.2",".","1.5","0.4",".",".",".",".","0.4","0.4",".","."
"Principles-Macroeconomics","Course Total","658","2.940","20.2","16.7","21.6","21.9","15.5","2.4","1.1","0.2",".",".",".",".","0.2","0.3",".","."
"Internship Economics","228
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","13","2.577","7.7","30.8","15.4","23.1",".","15.4","7.7",".",".",".",".",".",".",".",".","."
"","300
002","8","2.813",".","37.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","21","2.667","4.8","33.3","19.0","23.8",".","14.3","4.8",".",".",".",".",".",".",".",".","."
"","301
001","91","3.346","29.7","33.0","20.9","12.1","3.3","1.1",".",".",".",".",".",".",".",".",".","."
"","002
301","113","3.035","16.8","29.2","23.9","15.0","11.5","1.8","1.8",".",".",".",".",".",".",".",".","."
"","301
003","122","3.326","32.0","18.0","33.6","13.9","1.6",".",".",".",".",".",".",".","0.8",".",".","."
"Intmed Microeconomic Theory","Course Total","326","3.231","26.1","26.1","26.7","13.8","5.5","0.9","0.6",".",".",".",".",".","0.3",".",".","."
"","302
001","161","2.925","11.2","26.7","27.3","20.5","8.7","3.7","1.9",".",".",".",".",".",".",".",".","."
"","002
302","156","2.697","8.3","21.2","26.9","13.5","18.6","9.0","1.9",".",".",".",".",".","0.6",".",".","."
"Intmed Macroeconomic Theory","Course Total","317","2.813","9.8","24.0","27.1","17.0","13.6","6.3","1.9",".",".",".",".",".","0.3",".",".","."
"Developmnt-Economic Thought","305
001","35","3.210","37.1","14.3","11.4","5.7","17.1","2.9",".",".","2.9",".",".",".","5.7",".","2.9","."
"The Real Estate Process","306
001","51","2.920","21.6","5.9","39.2","13.7","11.8","3.9","2.0",".",".",".",".",".","2.0",".",".","."
"","310
001","148","2.878","18.9","16.9","22.3","18.2","16.9","4.7","1.4",".",".",".",".",".",".","0.7",".","."
"","310
002","124","3.201","21.8","25.0","33.9","12.9","3.2",".","1.6",".",".",".",".",".","0.8","0.8",".","."
"Stats:Measrmnt in Economics","Course Total","272","3.024","20.2","20.6","27.6","15.8","10.7","2.6","1.5",".",".",".",".",".","0.4","0.7",".","."
"Intmed Microecon-Adv Treatment","311
001","21","3.600","52.4","19.0","19.0",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
320","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","8","3.188","25.0",".","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","184","2.832","13.6","18.5","19.0","26.1","19.6","2.7","0.5",".",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","74","2.766","23.0","10.8","21.6","16.2","18.9","4.1","5.4",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390
001","29","2.929","13.8","13.8","34.5","20.7","10.3","3.4",".",".",".",".",".",".",".",".","3.4","."
"","410
001","52","2.721","9.6","23.1","19.2","25.0","13.5","5.8","3.8",".",".",".",".",".",".",".",".","."
"","002
410","54","3.139","31.5","16.7","20.4","18.5","11.1",".","1.9",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","Course Total","106","2.934","20.8","19.8","19.8","21.7","12.3","2.8","2.8",".",".",".",".",".",".",".",".","."
"","420
001","21","3.548","33.3","47.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","13","3.269","23.1","23.1","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","34","3.441","29.4","38.2","23.5","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"The Financial System","435
001","36","3.200","33.3","16.7","30.6","5.6","5.6","2.8","2.8",".",".",".",".",".","2.8",".",".","."
"Analytical Public Finance","441
001","80","3.253","36.3","18.8","20.0","16.3","5.0",".","2.5",".",".",".",".",".",".","1.3",".","."
"Wages and the Labor Market","450
001","103","3.095","12.6","31.1","32.0","16.5","6.8",".","1.0",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455
001","96","3.409","41.7","13.5","31.3","7.3","4.2",".",".",".",".",".",".",".",".","1.0","1.0","."
