"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","53","3.915","90.6","5.7","1.9",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","160
002","18","3.000","22.2","33.3","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","003
160","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","30","3.217","30.0","33.3","20.0","10.0",".",".","6.7",".",".",".",".",".",".",".",".","."
"","170
002","23","2.783","17.4","21.7","17.4","21.7","8.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"","003
170","26","2.942","11.5","30.8","19.2","26.9","7.7",".","3.8",".",".",".",".",".",".",".",".","."
"","004
170","17","3.265","23.5","23.5","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","66","2.970","16.7","25.8","22.7","22.7","6.1","3.0","3.0",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","217","2.961","23.5","20.3","22.1","13.4","12.9","5.5","2.3",".",".",".",".",".",".",".",".","."
"","240
002","63","2.905","15.9","20.6","27.0","14.3","15.9","6.3",".",".",".",".",".",".",".",".",".","."
"","240
003","81","3.086","14.8","29.6","28.4","17.3","7.4","2.5",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","144","3.007","15.3","25.7","27.8","16.0","11.1","4.2",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","306
001","70","2.986","14.3","32.9","20.0","12.9","14.3","5.7",".",".",".",".",".",".",".",".",".","."
"","002
306","71","2.979","11.3","29.6","25.4","19.7","11.3","1.4","1.4",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","141","2.982","12.8","31.2","22.7","16.3","12.8","3.5","0.7",".",".",".",".",".",".",".",".","."
"","307
001","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
307","15","3.367","26.7","26.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","8","3.125","37.5","12.5","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"","307
007","14","3.179","7.1","50.0","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","307
008","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
307","6","3.083","16.7","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","010
307","13","3.731","61.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
307","16","2.938",".","43.8","31.3","18.8",".",".","6.3",".",".",".",".",".",".",".",".","."
"","307
014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","126","3.417","31.7","37.3","20.6","7.9","0.8","0.8","0.8",".",".",".",".",".",".",".",".","."
"","313
001","56","3.152","12.5","26.8","42.9","14.3","3.6",".",".",".",".",".",".",".",".",".",".","."
"","002
313","61","3.279","9.8","55.7","21.3","6.6","6.6",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","117","3.218","11.1","41.9","31.6","10.3","5.1",".",".",".",".",".",".",".",".",".",".","."
"","314
001","55","3.130","16.4","18.2","41.8","18.2","3.6",".",".",".",".",".",".",".","1.8",".",".","."
"","002
314","59","3.110","15.3","32.2","30.5","13.6","5.1","1.7","1.7",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","114","3.119","15.8","25.4","36.0","15.8","4.4","0.9","0.9",".",".",".",".",".","0.9",".",".","."
"Geom Modeling-Engr Applcatn","331
001","117","3.222","14.5","31.6","36.8","13.7","1.7",".",".",".",".",".",".",".","0.9","0.9",".","."
"Intro to Dynamic Systems","340
001","139","3.318","33.8","24.5","21.6","9.4","8.6","0.7",".",".",".",".",".",".","1.4",".",".","."
"Design of Machine Elements","342
001","123","3.142","28.5","20.3","29.3","9.8","5.7","5.7","0.8",".",".",".",".",".",".",".",".","."
"","349
002","6","3.167",".","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
349","24","3.396","20.8","41.7","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 138 of 421",""
