"","919
041","2","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
042","3","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","","","",""
"Clin Neurol Clerk-Marshfld","920
002","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"NEUROL
676","Dept. Total","119","3.601","55.5","20.2","22.7","",".","",".","",".","",".","",".","",".",".","",".","",".","1.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","15","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","21","4.000","95.2",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","4.8",".",".","."
"Undergraduates","","40","4.000","97.5",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","2.5",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","66","3.454","28.8","31.8","37.9","",".","",".","",".","",".","",".","",".",".","",".","",".","1.5",".",".","."
"Prof Yr 4","","10","3.737","60.0","30.0","10.0","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","79","3.492","34.2","30.4","34.2","",".","",".","",".","",".","",".","",".",".","",".","",".","1.3",".",".","."
"","Dept. Total","119","3.601","55.5","20.2","22.7","",".","",".","",".","",".","",".","",".",".","",".","",".","1.7",".",".","."
