"ANATOMY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","",""
"","328
001","325","2.850","23.1","19.1","20.9","10.8","12.6","10.2","3.1","0.3",".",".",".",".",".",".",".","."
"","003
328","362","2.619","14.9","15.7","23.8","9.7","16.9","12.2","4.7","2.2",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","687","2.729","18.8","17.3","22.4","10.2","14.8","11.2","3.9","1.3",".",".",".",".",".",".",".","."
"","329
001","70","3.571","51.4","20.0","21.4","5.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"","002
329","70","3.436","45.7","18.6","21.4","5.7","8.6",".",".",".",".",".",".",".",".",".",".","."
"","003
329","69","3.500","50.7","17.4","21.7","4.3","4.3","1.4",".",".",".",".",".",".",".",".",".","."
"","329
004","70","3.707","64.3","20.0","10.0","4.3","1.4",".",".",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","279","3.554","53.0","19.0","18.6","5.0","3.9","0.4",".",".",".",".",".",".",".",".",".","."
"Microscopy of Life","619
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Anatomy","675
021","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
066","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinicl Anatomy & Radiology","722
004","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Thesis","990
057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ANATOMY
144","Dept. Total","1032","2.957","32.9","16.8","20.0","8.1","10.9","7.6","2.6","1.1",".",".",".",".",".",".",".","."
