"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"625
Toxicology I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","183","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","200","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","204","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","205","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","216","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","227","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","232","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","236","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","244","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","246","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","247","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","248","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","249","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","250","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","260","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","263","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","264","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","265","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","266","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","97","3.992","96.9",".","1.0",".",".",".",".",".",".",".",".",".",".",".","2.1","."
"812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 362 of 421",""
