"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","269","3.275","12.6","49.4","23.8","10.8","2.6","0.4","0.4",".",".",".",".",".",".",".",".","."
"","300
002","262","3.166","6.9","44.3","32.1","13.4","1.9","0.8","0.8",".",".",".",".",".",".",".",".","."
"","003
300","174","3.194","9.2","44.3","28.2","14.9","1.7","0.6","0.6",".",".",".",".",".",".",".",".","0.6"
"Marketing Management","Course Total","705","3.214","9.6","46.2","27.9","12.8","2.1","0.6","0.6",".",".",".",".",".",".",".",".","0.1"
"","305
001","60","3.367","33.3","28.3","23.3","11.7","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","002
305","43","3.337","25.6","32.6","27.9","11.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"","305
003","50","3.430","26.0","42.0","26.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","153","3.379","28.8","34.0","25.5","9.2","2.0","0.7",".",".",".",".",".",".",".",".",".","."
"","310
001","49","3.347","16.3","40.8","38.8","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
310","46","3.348","21.7","45.7","21.7","6.5","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"","003
310","46","3.696","45.7","47.8","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","141","3.461","27.7","44.7","22.7","3.5","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"","335
001","52","3.202","15.4","28.8","42.3","7.7","5.8",".",".",".",".",".",".",".",".",".",".","."
"","335
002","50","3.140","30.0","2.0","44.0","14.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","003
335","49","2.833","10.2","4.1","44.9","20.4","18.4",".",".","2.0",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","151","3.063","18.5","11.9","43.7","13.9","11.3",".",".","0.7",".",".",".",".",".",".",".","."
"","365
001","47","3.609","36.2","48.9","10.6","2.1",".",".",".",".",".",".",".",".",".",".",".","2.1"
"","365
002","54","3.717","61.1","25.9","7.4",".","3.7",".",".","1.9",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","101","3.667","49.5","36.6","8.9","1.0","2.0",".",".","1.0",".",".",".",".",".",".",".","1.0"
"Reading & Rsch-Marketing","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","33","3.621","39.4","45.5","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","39","3.500","17.9","69.2","10.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","422
001","36","3.306","30.6","22.2","33.3","5.6","8.3",".",".",".",".",".",".",".",".",".",".","."
"","422
002","25","3.292","28.0","20.0","32.0","12.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","61","3.300","29.5","21.3","32.8","8.2","6.6",".",".","1.6",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
001","43","3.128","16.3","30.2","27.9","14.0","11.6",".",".",".",".",".",".",".",".",".",".","."
"","460
001","35","3.586","48.6","31.4","8.6","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
460","37","3.486","32.4","35.1","29.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","29","3.362","37.9","27.6","13.8","17.2",".","3.4",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","101","3.485","39.6","31.7","17.8","9.9",".","1.0",".",".",".",".",".",".",".",".",".","."
"","640
001","20","3.026","15.0","20.0","15.0","45.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","640
002","11","2.955","18.2",".","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","31","3.000","16.1","12.9","25.8","38.7","3.2",".",".",".",".",".",".",".","3.2",".",".","."
"","700
001","50","3.500","24.0","52.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
700","49","3.520","36.7","30.6","32.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","56","3.491","32.1","33.9","33.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","37","3.811","62.2","37.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","192","3.563","37.0","38.5","24.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","43","3.605","20.9","79.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","19","3.684","52.6","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","48","3.448","27.1","37.5","33.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","30","3.817","66.7","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
