"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.286","33.3","23.8","19.0","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.400","35.0","35.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","101
005","15","3.067","13.3","20.0","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","101
006","11","3.136","9.1","36.4","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","008
101","23","3.522","39.1","34.8","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","009
101","23","3.068","17.4","34.8","21.7","13.0",".","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"","011
101","22","3.750","68.2","13.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
013","11","3.150","36.4","18.2",".","27.3",".","9.1",".","9.1",".",".",".",".",".",".",".","."
"","101
014","11","3.273","36.4","9.1","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","157","3.329","33.8","26.1","21.7","10.8","4.5","1.3","0.6","1.3",".",".",".",".",".",".",".","."
"","102
002","8","2.875","37.5",".",".","25.0","37.5",".",".",".",".",".",".",".",".",".",".","."
"","102
003","11","3.455","45.5","36.4",".",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","005
102","16","3.344","31.3","25.0","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","10","3.550","50.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","45","3.333","40.0","24.4","13.3","6.7","15.6",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","201
003","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
002","11","3.550","63.6",".","9.1","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","203
003","9","3.500","55.6","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","203
005","10","3.350","40.0","30.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","203
006","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
203","6","3.500","33.3","33.3",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","47","3.522","48.9","25.5","8.5","6.4","4.3","2.1",".","4.3",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
003","14","3.786","78.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","19","3.711","57.9","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","16","3.000","12.5","25.0","31.3","12.5","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"Rome:Changing Shape of City","350
001","17","3.412","47.1","17.6","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"L'Ottocento","601
001","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Il Settecento","622
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","12","3.667","75.0",".","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
