"ENGINEERING PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","",""
"","271
001","","28","2.778","28.6","7.1","21.4","7.1","17.9","10.7","3.6",".",".",".",".",".","3.6",".",".","."
"","002
271","","22","2.523","13.6","18.2","22.7","13.6","9.1","13.6","9.1",".",".",".",".",".",".",".",".","."
"Engr Problem Solving I","Course Total","","50","2.663","22.0","12.0","22.0","10.0","14.0","12.0","6.0",".",".",".",".",".","2.0",".",".","."
"Intro to Engineering Research","468
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","","31","3.400","32.3","35.5","6.5","22.6",".",".",".",".",".",".",".",".",".",".","3.2","."
"Research Pract-Engr Physics I","568
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602
001","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
002","","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in EP","Course Total","","29","3.707","48.3","44.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"HPC for Apps in Engr","759
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EP Graduate Seminar","920
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"E P
347","Dept. Total","","125","3.060","32.0","24.8","12.0","9.6","5.6","4.8","2.4",".",".","7.2",".",".","0.8",".","0.8","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","9","2.060","11.1","11.1","22.2",".","22.2","22.2","11.1",".",".",".",".",".",".",".",".","."
"Junior","","","38","2.881","28.9","18.4","21.1","7.9","7.9","10.5","2.6",".",".",".",".",".","2.6",".",".","."
"Senior","","","33","3.179","42.4","33.3","9.1","6.1","6.1",".","3.0",".",".",".",".",".",".",".",".","."
"Undergraduates","","","80","2.855","32.5","23.8","16.3","6.3","8.8","7.5","3.8",".",".",".",".",".","1.3",".",".","."
"Graduate","","","45","3.438","31.1","26.7","4.4","15.6",".",".",".",".",".","20.0",".",".",".",".","2.2","."
"","Dept. Total","","125","3.060","32.0","24.8","12.0","9.6","5.6","4.8","2.4",".",".","7.2",".",".","0.8",".","0.8","."
