"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Retail Leadership Symposium","250
001","106","3.829","82.1","4.7","8.5","2.8","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"","275
001","75","3.213","18.7","38.7","20.0","14.7","6.7","1.3",".",".",".",".",".",".",".",".",".","."
"","002
275","99","3.596","47.5","31.3","16.2","3.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","174","3.431","35.1","34.5","17.8","8.0","4.0","0.6",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357
001","75","3.773","81.3","5.3","5.3","2.7","5.3",".",".",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","59","3.305","37.3","23.7","18.6","13.6","3.4","1.7","1.7",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","70","3.464","30.0","42.9","15.7","8.6","1.4",".",".",".",".",".",".",".",".","1.4",".","."
"","501
001","17","3.281","11.8","58.8","11.8","5.9",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"","003
501","14","3.179",".","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","501
004","36","3.917","86.1","11.1","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
005","21","3.762","61.9","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
501","62","2.984","9.7","32.3","24.2","19.4","11.3","3.2",".",".",".",".",".",".",".",".",".","."
"","501
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
010","21","3.500","52.4","14.3","28.6",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","176","3.253","36.9","29.5","18.2","8.5","4.0","2.3",".","0.6",".",".",".",".",".",".",".","."
"The Global Consumer","562
001","40","3.713","47.5","47.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","29","3.310","44.8","31.0","3.4","10.3","3.4",".","6.9",".",".",".",".",".",".",".",".","."
"Consumer Policy","579
001","73","3.082","9.6","30.1","34.2","21.9","2.7","1.4",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603
015","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","627
001","50","3.143","8.0","36.0","38.0","8.0","8.0",".",".",".",".",".",".",".","2.0",".",".","."
"Consumer Behavior","657
001","73","3.514","47.9","31.5","8.2","5.5","4.1","2.7",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","50","3.102","14.0","26.0","34.0","14.0","10.0",".",".",".",".",".",".",".","2.0",".",".","."
"Independent Study","699
025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Behavior","888
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
