"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","3007","3.382","41.9","22.4","18.7","6.8","5.0","1.6","0.6","1.8","",".","0.1","",".","0.7","0.3",".","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","3.448","43.1","36.2","3.4","8.6","5.2","3.4",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","392","3.217","29.6","28.8","20.7","9.9","7.4","1.8","1.8",".","",".",".","",".",".",".",".",".","."
"Junior","","894","3.259","33.9","21.1","25.1","10.9","6.0","2.2","0.6",".","",".",".","",".",".","0.1",".",".","0.1"
"Senior","","690","3.275","36.4","20.7","21.4","7.7","7.5","2.6","0.9","0.3","",".","0.3","",".","1.3","0.7",".","0.1","."
"Undergraduates","","2034","3.262","34.2","22.9","22.4","9.5","6.8","2.3","0.9","0.1","",".","0.1","",".","0.4","0.3",".","0.0","0.0"
"Special","","298","3.680","64.8","24.2","7.7","1.7","0.7",".",".","0.7","",".",".","",".",".",".",".",".","0.3"
"Graduate","","671","3.679","55.4","19.8","12.5","0.7","1.6",".",".","7.6","",".",".","",".","1.9","0.3",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3007","3.382","41.9","22.4","18.7","6.8","5.0","1.6","0.6","1.8","",".","0.1","",".","0.7","0.3",".","0.0","0.1"
