"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
100","15","3.467","13.3","66.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
100","15","3.567","40.0","46.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","15","3.400","13.3","53.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
100","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
100","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
100","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","009
100","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
100","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","011
100","15","3.533","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
100","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","179","3.617","42.5","41.9","12.8","2.2","0.6",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","17","3.088","35.3","5.9","35.3",".","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","212
001","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
212","19","3.750","63.2","15.8","15.8",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Intro-Scientific Communication","Course Total","39","3.711","59.0","20.5","17.9",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Rsrch Mthd: Commun Indstry","250
001","56","3.054","17.9","26.8","26.8","12.5","12.5","3.6",".",".",".",".",".",".",".",".",".","."
"Comm in Life Sci Industries","270
001","41","3.659","46.3","43.9","7.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","41","3.646","65.9","7.3","17.1","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
040","7","3.238","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","10","3.383","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Advertising in Life Sciences","431
001","30","3.650","46.7","43.3","6.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","36","3.583","44.4","36.1","13.9","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","19","3.711","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Communication","625
001","31","3.417","25.8","35.5","29.0","6.5",".",".",".",".",".",".",".",".","3.2",".",".","."
"Case Studies-Com of Sci & Tech","640
001","16","3.563","50.0","25.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis-Comm Research","660
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci & Envir Communication","860
001","13","3.909","76.9",".","7.7",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Topics in Mass Communication","880
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium:Mass Communicatn","901
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","990
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
"","999
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","3","***","","","","","","","","","","","","","","","",""
