"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","103
001","345","2.993","27.0","15.4","24.1","10.4","16.2","6.1","0.6",".",".",".",".",".","0.3",".",".","."
"","002
103","353","2.997","25.2","15.6","28.3","12.7","11.9","3.7","2.5",".",".",".",".",".",".",".",".","."
"","103
003","349","3.054","28.1","15.8","30.1","10.6","8.3","4.6","2.6",".",".",".",".",".",".",".",".","."
"","004
103","348","2.952","24.7","13.5","26.4","12.6","15.5","5.5","1.1",".",".",".",".",".","0.6",".",".","."
"","005
103","355","2.997","27.3","14.1","25.9","10.7","15.5","5.6","0.8",".",".",".",".",".",".",".",".","."
"","006
103","350","2.964","26.0","15.1","24.9","12.0","13.7","7.4","0.9",".",".",".",".",".",".",".",".","."
"General Chemistry I","Course Total","2100","2.993","26.4","14.9","26.6","11.5","13.5","5.5","1.4",".",".",".",".",".","0.1",".",".","."
"","104
001","317","2.749","19.9","6.3","32.8","9.1","21.8","8.5","1.6",".",".",".",".",".",".",".",".","."
"","104
002","214","2.897","22.0","8.9","36.0","5.1","22.9","4.2","0.9",".",".",".",".",".",".",".",".","."
"General Chemistry II","Course Total","531","2.809","20.7","7.3","34.1","7.5","22.2","6.8","1.3",".",".",".",".",".",".",".",".","."
"Chemistry in Our World","108
001","222","3.074","23.9","25.7","22.5","11.7","10.4","4.5","1.4",".",".",".",".",".",".",".",".","."
"","109
001","348","3.237","35.6","12.6","34.5","5.5","9.2","1.4","1.1",".",".",".",".",".",".",".",".","."
"","109
002","343","3.325","35.0","20.4","30.0","7.3","6.1","0.6","0.6",".",".",".",".",".",".",".",".","."
"","109
003","90","3.361","34.4","28.9","21.1","10.0","3.3","2.2",".",".",".",".",".",".",".",".",".","."
"Advanced General Chemistry","Course Total","781","3.290","35.2","17.9","31.0","6.8","7.2","1.2","0.8",".",".",".",".",".",".",".",".","."
"Chemical Principles I","115
001","23","3.543","34.8","39.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Entering Research I","Course Total","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Across the Periodic Table","311
001","52","2.683","11.5","13.5","25.0","19.2","21.2","9.6",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","327
001","77","3.006","23.4","16.9","31.2","5.2","19.5","2.6","1.3",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","329
001","89","3.114","24.7","22.5","22.5","18.0","7.9","2.2","1.1",".",".",".",".",".","1.1",".",".","."
"Elementary Organic Chemistry","341
001","84","2.793","15.5","13.1","28.6","6.0","31.0","2.4","1.2","1.2",".",".",".",".",".","1.2",".","."
"","342
001","13","3.462","30.8","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
342","9","3.500","33.3","22.2","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Elementary Organic Chem Lab","Course Total","22","3.476","31.8","31.8","27.3","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","343
001","326","2.819","22.4","12.6","22.4","8.9","27.9","3.1","2.8",".",".",".",".",".",".",".",".","."
"","002
343","222","2.764","23.0","7.7","28.4","7.2","23.4","7.7","2.7",".",".",".",".",".",".",".",".","."
"","003
343","215","2.742","18.1","8.8","32.1","7.0","21.9","5.6","3.7",".",".",".",".",".",".",".",".","2.8"
"","343
004","48","3.448","35.4","27.1","31.3","4.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"","005
343","314","2.591","19.1","13.4","18.2","12.1","19.1","8.0","8.3",".",".",".",".",".",".",".",".","1.9"
"Intro Organic Chemistry","Course Total","1125","2.757","21.3","11.7","24.6","8.9","22.3","5.7","4.4",".",".",".",".",".",".",".",".","1.1"
"","001
344","15","3.167","26.7","13.3","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","002
344","17","3.118","23.5","11.8","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
003","16","3.125","25.0","12.5","43.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"","004
344","17","3.147","29.4",".","52.9","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 183 of 421",""
