"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","187","3.443","31.6","36.9","23.0","3.2","3.2",".","0.5","1.1",".",".",".",".","0.5",".",".","."
"Global Phys Environments","120","001","138","3.109","21.7","18.1","35.5","13.8","9.4","0.7","0.7",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","25","3.375","32.0","20.0","32.0","12.0",".",".",".",".",".",".",".",".",".",".","4.0","."
"Resources and People","139","001","61","3.180","26.2","16.4","41.0","6.6","6.6","3.3",".",".",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","175","3.413","37.1","26.9","22.3","10.3","1.1",".","1.1","0.6","0.6",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","6","2.833","33.3","16.7","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","67","3.632","59.7","22.4","9.0","3.0","3.0",".","1.5","1.5",".",".",".",".",".",".",".","."
"Science of Climate Change","323","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","11","3.300","27.3","9.1","45.5","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","39","2.872","10.3","30.8","25.6","20.5","5.1",".","7.7",".",".",".",".",".",".",".",".","."
"Environmental Biogeography","338","001","33","3.790","57.6","33.3","3.0",".",".",".",".",".",".",".",".",".","3.0",".","3.0","."
"Environmental Conservation","339","001","60","3.000","15.0","20.0","35.0","16.7","11.7",".","1.7",".",".",".",".",".",".",".",".","."
"World Regions in Global Contxt","340","001","178","3.225","25.8","32.0","26.4","2.2","3.4","2.8","3.4","1.1",".",".",".",".","1.1","1.7",".","."
"Africa, South of the Sahara","355","001","34","3.074","11.8","23.5","47.1","8.8","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","77","3.197","24.7","27.3","26.0","9.1","9.1","2.6",".",".",".",".",".",".","1.3",".",".","."
"Intro Envir Remote Sensing","371","001","17","3.344","23.5","29.4","35.3",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Intro to Geog Info Systems","377","001","56","3.082","21.4","28.6","28.6","5.4","5.4","7.1","1.8","1.8",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","378","001","36","3.457","52.8","25.0","5.6","2.8","2.8","8.3",".",".",".",".",".",".","2.8",".",".","."
"US Envir Policy & Regulation","439","001","15","3.458","60.0",".","6.7","6.7",".",".","6.7",".",".",".",".",".","13.3",".","6.7","."
"Amer Environmental History","460","001","45","3.600","44.4","37.8","11.1","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Spatial Patterns&Thry","505","001","14","3.346","14.3","35.7","42.9",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Dev and Env in Southeast Asia","557","001","14","3.500","42.9","35.7","7.1",".",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","40","3.725","62.5","27.5","5.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","001","29","3.286","41.4","27.6","3.4","13.8","3.4","3.4","3.4",".",".",".",".",".","3.4",".",".","."
"GIS Applications","578","001","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","602","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Intro:Geogrphc Inquiry&Anal","765","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Geography","900","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-People/Environment Geog","930","001","17","3.938","82.4","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Seminar in Amer Environ Hist","932","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 227 of 421",""
