"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","","36","3.357","44.4","22.2","11.1","8.3","8.3",".","2.8","2.8",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","","51","3.559","52.9","27.5","7.8","9.8",".",".","2.0",".",".",".",".",".",".",".",".","."
"","209","001","","30","3.633","43.3","40.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","209","002","","33","3.606","45.5","39.4","6.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","","Course Total","","63","3.619","44.4","39.7","11.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214","001","","22","3.500","40.9","22.7","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224","001","","24","3.625","54.2","16.7","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","002","","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","","26","3.463","53.8","15.4","15.4","3.8","3.8",".","3.8",".",".",".",".",".","3.8",".",".","."
"The World of Sagas","235","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240","001","","30","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lt Trn:Boccaccios Decameron","255","001","","23","3.500","52.2","13.0","30.4",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Italy & Invention of America","260","001","","22","3.750","68.2","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","","33","3.561","39.4","42.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","","24","3.457","16.7","58.3","16.7","4.2",".",".",".",".",".",".",".",".",".",".","4.2","."
"Yiddish Lit & Culture, Europe","269","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","","7","2.700","14.3","14.3","14.3",".","14.3","14.3",".","28.6",".",".",".",".",".",".",".","."
"","271","001","","16","3.276","12.5","56.3","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","271","002","","13","3.382","15.4","61.5","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","","Course Total","","29","3.330","13.8","58.6","20.7",".","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"","275","001","","110","2.700","5.5","19.1","40.0","14.5","9.1","7.3","4.5",".",".",".",".",".",".",".",".","."
"","275","002","","44","3.069","11.4","34.1","36.4","4.5","9.1","2.3","2.3",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","154","2.827","7.1","23.4","39.0","11.7","9.1","5.8","3.9",".",".",".",".",".",".",".",".","."
"Topics-20c German Lit(in Tran)","277","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","","16","3.967","87.5","6.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"In Trans:Woman in Scand Lit","343","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","","36","3.471","25.0","50.0","16.7",".",".","2.8",".",".",".",".",".",".",".","5.6",".","."
"Topics in Korean Literature","374","001","","26","3.538","57.7","15.4","15.4",".","11.5",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","001","","20","3.775","55.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
