"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","203
001","121","3.045","19.0","24.8","26.4","17.4","9.1","0.8","2.5",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","210
001","142","3.975","95.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","98","3.837","79.6","11.2","6.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","93","3.304","33.3","25.8","28.0",".","9.7",".","2.2",".",".",".",".",".","1.1",".",".","."
"Circuit Analysis","230
001","115","2.965","20.9","23.5","19.1","20.0","8.7","6.1","1.7",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","45","3.522","37.8","31.1","28.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","252
001","85","2.900","23.5","25.9","22.4","3.5","12.9","3.5","8.2",".",".",".",".",".",".",".",".","."
"","002
252","43","3.779","81.4","2.3","9.3","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"","252
004","88","3.176","27.3","27.3","18.2","17.0","6.8","2.3","1.1",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","216","3.188","36.6","21.8","18.1","9.3","8.3","2.3","3.7",".",".",".",".",".",".",".",".","."
"","270
001","55","3.455","49.1","25.5","16.4",".","5.5",".","3.6",".",".",".",".",".",".",".",".","."
"","002
270","42","3.214","33.3","14.3","26.2","14.3","11.9",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","97","3.351","42.3","20.6","20.6","6.2","8.2",".","2.1",".",".",".",".",".",".",".",".","."
"","271
001","28","3.167","25.0","7.1","50.0","3.6","10.7",".",".",".",".",".",".",".","3.6",".",".","."
"","002
271","41","3.195","34.1","4.9","46.3",".","12.2","2.4",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","69","3.184","30.4","5.8","47.8","1.4","11.6","1.4",".",".",".",".",".",".","1.4",".",".","."
"","305
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","22","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","48","3.906","89.6","6.3",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","18","3.472","38.9","16.7","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","35","3.243","48.6","5.7","20.0","14.3","5.7","2.9","2.9",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","58","3.321","37.9","6.9","37.9","6.9","6.9",".",".",".",".",".",".",".","1.7","1.7",".","."
"Intro-Random Sig Anal&Stats","331
001","17","3.412","35.3","35.3","17.6",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","34","2.441","11.8","8.8","8.8","32.4","23.5","11.8","2.9",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","29","3.310","31.0","27.6","20.7","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","96","3.632","64.6","16.7","13.5",".","1.0",".","3.1",".",".",".",".",".","1.0",".",".","."
"Electronic Circuits II","342
001","71","2.930","18.3","16.9","26.8","14.1","21.1","2.8",".",".",".",".",".",".",".",".",".","."
"","352
001","68","3.029","20.6","23.5","26.5","14.7","10.3","1.5","2.9",".",".",".",".",".",".",".",".","."
"","002
352","35","3.029","20.0","22.9","22.9","17.1","14.3","2.9",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","103","3.029","20.4","23.3","25.2","15.5","11.7","1.9","1.9",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","64","3.328","32.8","37.5","12.5","6.3","7.8","1.6","1.6",".",".",".",".",".",".",".",".","."
"","354
001","47","3.223","34.0","14.9","31.9","12.8","2.1","2.1","2.1",".",".",".",".",".",".",".",".","."
"","354
002","34","3.147","29.4","11.8","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
