"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","155
001","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
155","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","21","3.571","61.9","23.8","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","004
155","18","3.250","11.1","38.9","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
155","15","2.833","20.0","6.7","26.7","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","155
009","19","3.526","42.1","26.3","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","20","3.575","45.0","25.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","20","3.200","20.0","35.0","35.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
013","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
014","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","230","3.589","53.9","22.6","17.4","3.9","0.9","0.4","0.9",".",".",".",".",".",".",".",".","."
"","275
001","20","3.600","35.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
275","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
275","19","3.583","36.8","36.8","21.1",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","004
275","17","3.500","35.3","29.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","108","3.696","52.8","32.4","13.9",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"","330
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","5","***","","","","","","","","","","","","","","","",""
"","374
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","10","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","19","3.263","21.1","21.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","19","3.053","26.3","5.3","47.4","15.8",".",".","5.3",".",".",".",".",".",".",".",".","."
"","003
397","19","3.132","5.3","26.3","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","20","3.225","20.0","15.0","60.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
005","19","3.632","47.4","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
397","17","3.313","17.6","23.5","52.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","007
397","15","3.367","13.3","46.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
397","21","3.143","14.3","38.1","33.3","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"","009
397","22","3.477","18.2","59.1","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
397","18","3.389","16.7","44.4","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","17","3.529","17.6","70.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","21","3.476","33.3","33.3","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","20","3.475","30.0","45.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
014","16","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","23","3.217","13.0","30.4","43.5","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","20","3.225","5.0","45.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
018","16","3.250","18.8","37.5","37.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","322","3.318","19.6","36.0","37.0","5.6","0.6","0.3","0.6",".",".",".",".",".","0.3",".",".","."
