"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","201","2.877","21.9","13.4","17.4","20.9","20.9","4.0","0.5","1.0",".",".",".",".",".",".",".","."
"","300
002","241","2.851","13.3","22.4","19.5","19.5","20.3","3.3","0.8",".",".",".",".",".",".",".","0.8","."
"Introduction to Finance","Course Total","442","2.863","17.2","18.3","18.6","20.1","20.6","3.6","0.7","0.5",".",".",".",".",".",".","0.5","."
"","305
001","52","3.096","21.2","15.4","42.3","3.8","17.3",".",".",".",".",".",".",".",".",".",".","."
"","002
305","43","3.314","37.2","11.6","37.2","4.7","9.3",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","95","3.195","28.4","13.7","40.0","4.2","13.7",".",".",".",".",".",".",".",".",".",".","."
"","320
001","55","3.100","27.3","18.2","20.0","20.0","12.7","1.8",".",".",".",".",".",".",".",".",".","."
"","320
002","53","3.077","17.0","22.6","32.1","11.3","15.1",".",".",".",".",".",".",".",".",".","1.9","."
"","320
003","43","3.000","23.3","16.3","25.6","20.9","7.0","7.0",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","151","3.063","22.5","19.2","25.8","17.2","11.9","2.6",".",".",".",".",".",".",".",".","0.7","."
"","325
001","57","3.281","22.8","33.3","21.1","22.8",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","51","3.402","31.4","29.4","27.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","18","3.389","27.8","33.3","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","126","3.345","27.0","31.7","24.6","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","96","3.646","56.3","29.2","9.4","2.1","2.1",".","1.0",".",".",".",".",".",".",".",".","."
"","330
002","89","3.574","56.2","21.3","7.9","9.0","3.4","1.1",".",".",".",".",".",".",".",".",".","1.1"
"Derivative Securities","Course Total","185","3.611","56.2","25.4","8.6","5.4","2.7","0.5","0.5",".",".",".",".",".",".",".",".","0.5"
"","365
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","46","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","23","3.773","65.2","17.4","13.0",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"Contemporary Topics","Course Total","89","3.820","68.5","23.6","6.7",".",".",".",".",".",".",".",".",".",".","1.1",".","."
"Reading & Research-Finance","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","410
001","96","3.401","30.2","29.2","32.3","7.3","1.0",".",".",".",".",".",".",".",".",".",".","."
"","420
001","21","3.524","38.1","33.3","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
420","18","3.333","22.2","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","39","3.436","30.8","33.3","28.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","31","3.167","35.5",".","41.9",".","19.4",".",".",".",".",".",".",".","3.2",".",".","."
"Entrepreneurial Finance","457
001","35","3.571","45.7","45.7","2.9",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","700
001","49","3.459","28.6","34.7","36.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","50","3.620","48.0","28.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","56","3.554","41.1","35.7","19.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","155","3.545","39.4","32.9","26.5",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
031","43","3.535","39.5","27.9","32.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","735
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","23","3.478","47.8",".","52.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","750
001","18","3.618","33.3","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"Contemporary Topics","765
002","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 57 of 421"
