"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","61","3.549","36.1","42.6","18.0","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","35","3.129","17.1","20.0","48.6","5.7","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","172","3.485","34.9","39.5","18.0","5.2","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","61","3.067","18.0","18.0","34.4","21.3","4.9",".","1.6","1.6",".",".",".",".",".",".",".","."
"360","001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","003","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","004","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","005","","13","3.577","53.8","38.5",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","60","3.617","45.0","40.0","13.3",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","35","3.357","14.3","48.6","31.4","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"401
Special Topics in Mat Sci&Engr","002","","15","3.786","73.3","13.3",".",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"441
Deformation of Solids","001","","35","2.800","17.1","11.4","31.4","11.4","22.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"448
Crystallog & Xray Diffractn","001","","26","3.808","65.4","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","35","3.314","25.7","37.1","20.0","8.6","8.6",".",".",".",".",".",".",".",".",".",".","."
"456
Elec,Opt&Mag Prop of Materials","001","","51","3.392","27.5","37.3","23.5","9.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"461
Advanced Metal Casting","001","","7","3.417","42.9","14.3","14.3",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"463
Matrls-Elevated Temp Serv","001","","18","3.444","44.4","16.7","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"470
Capstone Project I","001","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Fundamentls-Atomistic Modeling","001","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Properties-Solid Surfaces","001","","30","3.400","30.0","33.3","26.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"756
Advanced Electronic Materials","001","","21","3.619","52.4","19.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 144 of 421",""
