"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","5","***","","","","","","","","","","","","","","","",""
"201
Land Surveying Fundamentals","001","","33","3.266","18.2","36.4","27.3","9.1","6.1",".",".",".",".",".",".",".",".",".",".","3.0"
"249
Engr Principles-Biol Systms","001","","57","2.982","12.3","15.8","49.1","8.8","10.5","3.5",".",".",".",".",".",".",".",".",".","."
"270
Intro to Computer Aided Design","001","","47","3.213","27.7","23.4","31.9","2.1","12.8","2.1",".",".",".",".",".",".",".",".",".","."
"351
Struct Design-Ag Facilities","001","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"367","001","","61","3.271","27.9","24.6","27.9","8.2","6.6","1.6",".",".",".",".",".",".",".",".","3.3","."
"367","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","66","3.313","31.8","22.7","27.3","7.6","6.1","1.5",".",".",".",".",".",".",".",".","3.0","."
"372
On-Site Waste Water Treatment","001","","13","3.038","7.7","30.8","38.5","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"409
Career Management-Engineers","001","","60","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"460
Biorefining: Energy & Products","001","","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"473
Irrigatn&Drainage Sys Dsgn","001","","16","2.833","12.5","18.8","31.3","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".","6.3"
"475
Engr Principles-Ag Machinery","001","","24","2.729","8.3","12.5","37.5","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"509
Biol Sys Eng Dsgn Practicum II","001","","46","3.571","10.9","13.0","6.5",".",".",".",".",".",".",".",".",".","69.6",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","4","***","","","","","","","","","","","","","","","",""
"875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","35","",".",".",".",".",".",".",".","17.1","2.9",".",".","80.0",".",".",".","."
