"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"110","001","","77","3.110","29.9","15.6","27.3","11.7","10.4","5.2",".",".",".",".",".",".",".",".",".","."
"110","002","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Communicative Dis","Course Total","","87","3.195","35.6","14.9","25.3","10.3","9.2","4.6",".",".",".",".",".",".",".",".",".","."
"201
Speech Science","001","","85","3.588","64.7","18.8","8.2","2.4","1.2","1.2","3.5",".",".",".",".",".",".",".",".","."
"202
Normal Aspects of Hearing","001","","86","3.564","72.1","9.3","2.3","5.8","5.8","2.3","2.3",".",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","82","3.768","70.7","17.1","8.5","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"303
Speech Acoustics,Perception","001","","82","3.915","85.4","12.2","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"315
Speech Pathology I","001","","90","3.778","67.8","24.4","4.4","2.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","47","3.894","83.0","14.9",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"424
Manually Coded English-SL I","001","","34","3.926","88.2","8.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","55","3.755","78.2","7.3","7.3","5.5",".","1.8",".",".",".",".",".",".",".",".",".","."
"481
Undergraduate Junior Honors","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"503
Neurl Mech Speech,Hear&Lang","001","","40","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"699","011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","36","3.985","86.1","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".","2.8","."
"702
Research Methods","001","","35","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Lang&Learn Disordrs-Childrn","001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Swallowing Disorders","001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"708
Fluency&Phonological Disorders","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Schl Mthd,Procedr:Sp/Lang Path","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","007","","18","3.935","88.9",".","5.6",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"790","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","50","3.945","90.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".",".","2.0","."
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
