"L&S","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY
970","Dept. Total","1810","3.079","33.5","14.9","23.6","5.5","13.1","3.5","1.3","2.8","",".","0.3","",".","0.9","0.4","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","98","2.540","16.3","15.3","21.4","9.2","20.4","14.3","2.0",".","",".",".","",".",".",".",".",".","1.0"
"Sophomore","","413","2.837","22.8","12.3","29.5","6.8","22.3","4.4","1.7",".","",".",".","",".",".",".","0.2",".","."
"Junior","","435","3.051","30.6","16.8","27.1","5.7","13.8","3.2","2.3",".","",".",".","",".",".","0.5",".",".","."
"Senior","","693","3.274","39.7","18.2","22.2","5.2","8.8","2.6","0.6","0.3","",".","0.9","",".","0.9","0.6",".",".","0.1"
"Undergraduates","","1639","3.055","31.6","16.2","25.3","6.0","14.2","3.9","1.4","0.1","",".","0.4","",".","0.4","0.4","0.1",".","0.1"
"Special","","22","3.353","45.5","4.5","9.1",".","13.6",".","4.5","13.6","",".",".","",".",".","4.5",".","4.5","."
"Graduate","","148","3.750","53.4","2.0","6.8","0.7","0.7",".",".","29.7","",".",".","",".","6.8",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1810","3.079","33.5","14.9","23.6","5.5","13.1","3.5","1.3","2.8","",".","0.3","",".","0.9","0.4","0.1","0.1","0.1"
