"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"Academic Writing I","Course Total","286","",".",".",".",".",".",".",".",".",".","95.8","4.2",".",".",".",".","."
"","118
001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
118","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
118","15","3.267","40.0","6.7","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","118
004","8","3.063","25.0","25.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","118
005","14","3.214","14.3","57.1","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","006
118","13","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","007
118","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","008
118","15","3.167","26.7","46.7","13.3",".",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"","009
118","15","3.333","53.3","20.0","6.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","010
118","14","3.214","28.6","35.7","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","011
118","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
118","12","3.292","25.0","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","013
118","14","3.286","21.4","28.6","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","118
014","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
015","14","3.429","28.6","42.9","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","016
118","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Academic Writing II","Course Total","220","3.457","42.3","29.5","18.6","3.6","3.6","0.9","1.4",".",".",".",".",".",".",".",".","."
"","343
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","343
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Oral Communication Skills","Course Total","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","344
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","344
002","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Present. and Discussion","Course Total","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"American English Pronunciation","345
001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","349
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","349
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Writing for Grads","Course Total","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof and Acad Writing Skills","350
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"English for Lawyers","352
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
