"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","12","3.968","91.7","8.3",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","13","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","30","3.986","96.7","3.3",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","55","3.907","76.4","12.7","1.8",".","",".","",".","",".","7.3","",".",".","",".","1.8",".",".",".","."
"Prof Yr 2","5","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","61","3.415","34.4","13.1","47.5","1.6","",".","",".","",".",".","",".",".","",".",".","3.3",".",".","."
"Prof Yr 4","54","3.873","85.2","11.1","3.7",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","120","3.592","58.3","13.3","25.8","0.8","",".","",".","",".",".","",".",".","",".",".","1.7",".",".","."
