"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"560
Biochemical Engineering","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Med Img Sci:Math & Cncpt Fndtn","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","28","3.593","50.0","25.0","10.7","10.7",".",".",".","3.6",".",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","23","3.609","52.2","30.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","23","3.750","56.5","34.8",".","4.3",".",".",".",".",".",".",".",".",".",".","4.3","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","22","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"710
Adv in Med Magnet Resonance","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","12","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"890","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","094","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","099","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertation Research","Course Total","","30","",".",".",".",".",".",".",".","76.7",".",".",".","23.3",".",".",".","."
