"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1479","3.333","32.3","25.9","22.6","6.7","3.9","1.4","1.3","2.8","0.1","0.2","",".","1.4","1.0","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","111","3.187","22.5","22.5","36.9","6.3","9.9","1.8",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","279","3.316","25.8","33.0","27.2","8.2","3.2","0.7","1.1",".",".",".","",".",".","0.4","0.4",".","."
"Junior","","334","3.309","32.0","27.2","25.4","8.1","3.3","1.5","1.5",".",".",".","",".",".","0.9",".",".","."
"Senior","","548","3.325","35.0","26.8","20.8","6.8","4.4","1.8","1.8","0.5","0.2",".","",".","0.4","1.1","0.4",".","."
"Undergraduates","","1272","3.306","31.1","27.9","24.8","7.4","4.3","1.5","1.4","0.2","0.1",".","",".","0.2","0.8","0.2",".","."
"Special","","67","3.406","38.8","16.4","14.9","6.0","3.0","1.5","1.5","6.0",".","4.5","",".",".","1.5",".","4.5","."
"Graduate","","138","3.744","40.6","11.6","5.1","0.7","0.7",".",".","25.4",".",".","",".","13.0","2.9",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1479","3.333","32.3","25.9","22.6","6.7","3.9","1.4","1.3","2.8","0.1","0.2","",".","1.4","1.0","0.2","0.2","."
