"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","259","3.712","58.7","30.1","8.5","1.2","1.5",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","140
001","9","3.500","66.7","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","150
001","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","17","3.531","58.8","11.8","5.9","5.9","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"","005
150","16","3.656","81.3","6.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","150
006","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
150","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","109","3.838","85.3","6.4","2.8","1.8","1.8",".","0.9","0.9",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Theatre Production Laboratory","162
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Topics-Theatre&Drama","219
001","11","2.909","18.2","18.2","36.4","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"","250
001","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","25","3.760","68.0","20.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Javanese Performance","321
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","9","3.433","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","19","3.632","63.2","31.6",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","357
003","20","3.875","90.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","59","3.797","76.3","18.6","1.7","1.7",".",".","1.7",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","10","3.500","60.0","10.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sewing for the Theatre","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","13","3.837","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370
001","12","3.691","58.3","8.3","25.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Set Design I","372
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 105 of 421",""
