"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
011","26","3.808","73.1","19.2","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","46","3.848","78.3","15.2","4.3","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","20","3.800","95.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","115
005","51","3.912","88.2","9.8",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","115
006","53","3.962","94.3","3.8","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
007","45","3.944","93.3","2.2","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
009","54","3.870","85.2","7.4","5.6",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","115
012","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
019","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","115
020","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","021
115","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","032
115","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
033","14","3.464","57.1","7.1","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","115
034","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
051","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
052","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
053","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
054","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
055","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
056","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
057","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
058","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
081","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
082","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
083","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
084","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
085","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","086
115","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","087
115","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
089","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
090","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
091","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
093","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
094","7","3.214","42.9","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","515","3.890","87.8","6.8","3.9","0.4","0.8",".","0.4",".",".",".",".",".",".",".",".","."
"","125
001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
