"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","138
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
002","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
138","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
004","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
005","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
006","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","138
007","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
008","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
009","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
010","18","3.889","94.4",".",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","138
011","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
012","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
013","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
014","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
138","12","3.417","75.0",".","8.3",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","138
016","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
138","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","138
018","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"CRC 1st Yr Smr: Lib Arts Educ","Course Total","274","3.896","88.0","8.0","2.2","0.4","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"","157
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
004","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","157
005","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","11","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","157
007","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
008","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
009","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
011","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
012","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
013","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
014","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
015","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
016","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
017","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","182","",".",".",".",".",".",".",".",".",".","93.4","0.5",".",".",".","6.0","."
"Critical Thinkng & Expressn","200
001","73","3.833","79.5","13.7","4.1",".",".",".","1.4",".",".",".",".",".",".",".",".","1.4"
"W Culture:Sci,Tech,Philos I","201
001","150","3.348","26.0","34.0","28.7","4.0","1.3","2.0","0.7",".",".",".",".",".","1.3",".",".","2.0"
"West Culture:Lit&The Arts I","203
001","137","3.896","83.2","11.7","2.2","1.5",".",".",".","0.7",".",".",".",".","0.7",".",".","."
"W Cult:Pol,Econ&Soc Thght I","205
001","89","3.461","32.6","40.4","18.0","6.7","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234
001","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Society","253
001","19","3.526","31.6","52.6","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in ILS","275
001","28","3.786","82.1","14.3",".",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Directed Study","299
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
