"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Mass Media in Multicultrl Amer","162
001","125","3.420","39.2","41.6","8.8","4.0","0.8","1.6","4.0",".",".",".",".",".",".",".",".","."
"Spec Topics in Mass Comm","176
008","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201
001","343","3.472","40.8","28.3","24.5","3.2","1.5","0.6","1.2",".",".",".",".",".",".",".",".","."
"Mass Communication Practices","202
001","120","3.429","25.8","36.7","35.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","9","3.556","55.6",".","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
335","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","38","3.724","55.3","34.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
001","36","3.681","50.0","38.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","39","3.564","28.2","56.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
003","38","3.730","52.6","36.8","7.9",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Principles of Strategic Com","Course Total","113","3.656","43.4","44.2","10.6","0.9",".",".",".",".",".",".",".",".","0.9",".",".","."
"In-Depth Reporting","401
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405
001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Stratgy-Strategc Campaign","449
001","25","3.900","88.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
012","24","3.813","75.0","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","475
022","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
023","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","57","3.754","64.9","22.8","10.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","79","3.405","44.3","17.7","21.5","7.6","8.9",".",".",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","001
560","91","3.410","29.7","27.5","39.6",".",".",".","1.1",".",".",".",".",".","2.2",".",".","."
"Career Colloquium","601
001","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Mass Media and Youth","616
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618
001","24","3.229","20.8","37.5","29.2","8.3",".",".","4.2",".",".",".",".",".",".",".",".","."
"International Communication","620
001","21","3.452","42.9","42.9","4.8",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646
001","103","3.524","37.9","35.9","20.4","4.9","1.0",".",".",".",".",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","650
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication Rsch Methods","658
001","36","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
022","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
054","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","055
676","24","3.563","54.2","20.8","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","54","3.676","57.4","27.8","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","681
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","697
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 255 of 421",""
