"GEOLOGICAL ENGINEERING","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","20","2.900","10.0","15.0","35.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","15","3.200","26.7","13.3","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Principles of Mineralogy","360","001","","14","2.893","21.4","7.1","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"Topics-Geological Engr","401","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sedimentary & Stratigraphy Lab","431","001","","18","3.194","22.2","16.7","44.4","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Seepage and Slopes","530","001","","24","3.500","25.0","58.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","","30","3.133","13.3","23.3","46.7","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","","28","2.964",".","35.7","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","","38","3.184","21.1","15.8","47.4","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Groundwater Flow Modeling","724","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Spec Topics-Geological Engr","801","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Independent Work","999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
