"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"Exploring Biology","100
001","198","3.727","63.6","22.7","10.6","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","101
001","186","2.487","17.2","2.7","28.5","9.7","23.7","13.4","4.8",".",".",".",".",".",".",".",".","."
"","002
101","165","2.509","18.8","6.7","28.5","3.0","23.6","12.1","7.3",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","351","2.497","17.9","4.6","28.5","6.6","23.6","12.8","6.0",".",".",".",".",".",".",".",".","."
"","102
001","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","18","3.222","22.2","27.8","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","003
102","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","005
102","12","3.167","8.3","33.3","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","006
102","12","3.167","33.3",".","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","007
102","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","009
102","12","3.125","25.0","33.3","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","102
010","16","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","10","3.400","20.0","60.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","012
102","14","3.286","28.6","21.4","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","013
102","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","16","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","10","3.450","30.0","50.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","187","3.382","31.6","30.5","26.7","6.4","4.3","0.5",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","39","2.538","5.1","12.8","43.6","2.6","20.5","10.3","5.1",".",".",".",".",".",".",".",".","."
"","151
001","254","2.762","7.1","9.4","48.8","7.5","23.6","2.4","1.2",".",".",".",".",".",".",".",".","."
"","002
151","260","2.828","12.3","7.7","47.7","7.3","20.4","3.5","0.8",".",".",".",".",".",".",".","0.4","."
"","003
151","153","2.974","19.0","13.1","41.8","5.2","17.0","3.3","0.7",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","667","2.836","11.8","9.6","46.8","6.9","20.8","3.0","0.9",".",".",".",".",".",".",".","0.1","."
"Introductory Biology","001
152","369","3.095","22.0","12.5","45.3","7.3","8.7","3.3",".",".",".",".",".",".","0.8",".",".","0.3"
"","260
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","260
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Entering Research Part 1","Course Total","15","3.867","93.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Directed Studies","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
375","58","3.888","87.9","1.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","375
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","106","3.955","92.5","0.9","5.7",".",".",".",".","0.9",".",".",".",".",".",".",".","."
"","399
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship/Field Experience","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution Seminar Series UG","522
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
003","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
