"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","20","3.825","90.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","002
1","30","3.783","73.3","10.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
1","31","3.800","58.1","38.7",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","1
004","40","3.789","55.0","40.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"Workshop in Dance Activity","Course Total","121","3.797","66.1","26.4","4.1",".",".","0.8",".","0.8",".",".",".",".",".","1.7",".","."
"Contemporary Dance I","11
001","38","3.662","65.8","13.2","13.2",".","2.6","2.6",".","2.6",".",".",".",".",".",".",".","."
"","111
001","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","23","3.933","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
003","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","60","3.898","81.7","16.7",".",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Workshop in World Dance","116
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","118
001","35","3.914","88.6","5.7","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
118","30","3.897","80.0","13.3","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"African Dance","Course Total","65","3.906","84.6","9.2","4.6",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","19","3.605","57.9","15.8","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","20","3.676","50.0","30.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Wkshp Body Studies & Practices","132
001","15","3.700","73.3","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","135
001","34","3.412","41.2","23.5","20.6","11.8",".","2.9",".",".",".",".",".",".",".",".",".","."
"","002
135","37","3.946","91.9","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
003","34","3.864","82.4","8.8","2.9",".","2.9",".",".",".","2.9",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","105","3.745","72.4","12.4","8.6","3.8","1.0","1.0",".",".","1.0",".",".",".",".",".",".","."
"Dance Production","140
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Year Workshop","162
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165
001","29","3.655","55.2","24.1","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","2
001","39","3.868","79.5","10.3","7.7",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","2
002","41","3.903","78.0","4.9","2.4","2.4",".",".",".","9.8",".",".",".",".","2.4",".",".","."
"","003
2","29","3.897","89.7","6.9",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","004
2","45","3.750","75.6","4.4","11.1","4.4","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"","005
2","43","3.878","79.1","11.6","2.3","2.3",".",".",".","4.7",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","197","3.854","79.7","7.6","5.1","2.0","1.0",".",".","3.6",".",".",".",".","1.0",".",".","."
"Writing the Moving Body","200
001","12","3.708","75.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21
001","33","3.919","84.8","6.1",".","3.0",".",".",".","6.1",".",".",".",".",".",".",".","."
"","211
001","16","3.717","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th III","Course Total","26","3.738","57.7","34.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","22","3.594","45.5","22.7","18.2",".","4.5",".",".","4.5",".",".",".",".","4.5",".",".","."
"Ballet Technique II-B","226
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pilates Mat II","235
001","23","3.739","78.3","13.0",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","255
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Arts Perform Lab","259
001","14","3.967","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Hist I: Renaissance-50's","265
001","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 99 of 421"
