"DESIGN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120
001","76","3.145","10.5","35.5","44.7","3.9","1.3","1.3","2.6",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","153
001","27","3.370","33.3","22.2","29.6","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210
002","11","3.455","45.5","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221
001","43","3.250","25.6","41.9","9.3","11.6","4.7","2.3","2.3",".",".",".",".",".","2.3",".",".","."
"Interior Design I","222
001","32","3.766","59.4","34.4","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223
001","24","3.396","33.3","20.8","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253
001","14","3.538","50.0","14.3","14.3","14.3",".",".",".",".",".",".",".",".","7.1",".",".","."
"Dimensions-Material Culture","264
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Color Theory and Technology","451
001","14","3.536","50.0","28.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
018","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
019","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
020","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","021
501","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","501
023","41","3.817","85.4","4.9","2.4","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"","501
024","14","3.536","64.3","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","501
025","16","3.531","31.3","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
026","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
027","37","3.811","73.0","16.2","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
029","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
032","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","197","3.789","75.1","14.7","7.1","0.5","1.5",".","0.5",".",".",".",".",".","0.5",".",".","."
"","601
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622
001","19","3.667","73.7","10.5","5.3",".",".",".","5.3",".",".",".",".",".","5.3",".",".","."
"Interior Design IV","623
001","32","3.400","31.3","37.5","12.5","6.3","3.1","3.1",".",".",".",".",".",".","6.3",".",".","."
"Portfolio Preparation","624
001","29","3.810","69.0","27.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Culture and Built Environment","639
001","11","3.500","45.5","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Taste","642
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699
002","8","3.944","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","699
008","8","3.882","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 154 of 421",""
