"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","002","","7","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","14","3.250","21.4","28.6","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"102
Beginning Class Piano","001","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","11","3.273","18.2","54.5","9.1",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"14
Fundamentals: Single Reeds","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","101","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","6","3.889","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","13","3.947","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"147
First Year Composition","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201
Elem/Intmed Piano","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","044","","7","3.438","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"205","045","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","24","3.760","79.2","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"213","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"213","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Element/Intermed Saxophone","Course Total","","6","3.800","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"215
Elem/Intmed Bassoon","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","8","3.944","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"223
Elem/Intmed Euphonium","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"225
Elem/Intmed Tuba","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"227
Elem/Intmed Percussion","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"231","025","","8","3.765","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"231","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"231","084","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermediate Violin","Course Total","","13","3.852","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 285 of 421",""
