"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"491","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"491","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","27","3.923","85.2","3.7",".","3.7",".",".",".",".",".",".",".",".","7.4",".",".","."
"492","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"492","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"492","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","5","***","","","","","","","","","","","","","","","",""
"508
Composite Materials","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Facilities Planning","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"512
Inspectn,Qual Cntrl&Relblty","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Additive Manufacturing","001","","31","3.717","48.4","41.9","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"532
Thry&Appl of Pattrn Recgntn","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"549
Product Design","001","","31","3.855","77.4","16.1","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Intermediate Thermodynamics","001","","22","3.205","22.7","4.5","68.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"567
Solar Energy Technology","001","","21","2.929","14.3","9.5","47.6","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"569
Applied Combustion","001","","10","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
Computational Fluid Dynamcs","001","","31","3.548","64.5","12.9","12.9",".","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"601","001","","24","3.313","29.2","8.3","58.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"601","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","005","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","007","","29","3.482","58.6","3.4","20.7",".","13.8",".",".",".",".",".",".",".",".","3.4",".","."
"601","008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","78","3.540","51.3","12.8","28.2","1.3","5.1",".",".",".",".",".",".",".",".","1.3",".","."
"603
Topics-Bio-Medical Engr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","240","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","18","3.923","77.8",".","5.6",".",".",".",".","5.6",".",".",".","11.1",".",".",".","."
"702
Grad Cooperative Educ Program","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"706
Plates,Shells&Pressr Vessel","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"717
Advanced Polymer Processing","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"718
Modlng&Simlatn-Polymer Proc","002","","8","4.000","37.5",".",".",".",".",".",".",".",".",".",".",".","62.5",".",".","."
"739
Advanced Robotics","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 140 of 421",""
