"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"","307
002","","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","","61","3.800","73.8","14.8","4.9","4.9",".",".",".","1.6",".",".",".",".",".",".",".","."
"","314
001","","22","3.386","36.4","31.8","22.7",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","314
002","","24","3.521","58.3","4.2","25.0","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","Course Total","","46","3.457","47.8","17.4","23.9","4.3","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"English Phonology","315
001","","25","3.625","56.0","16.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".","4.0"
"English Lang Variation in U.S.","316
001","","23","3.659","34.8","56.5","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","318
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","318
002","","20","3.775","75.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","Course Total","","45","3.900","88.9","6.7","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"The Sixteenth Century","328
001","","21","3.737","47.6","38.1","4.8",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Romantic Lit and Culture","340
001","","24","3.250","29.2","29.2","16.7","8.3","4.2",".","4.2",".",".",".",".",".","8.3",".",".","."
"British Lit since 1900","353
001","","23","3.283","17.4","43.5","26.1","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"African Diaspora Literature","374
001","","33","3.500","42.4","36.4","12.1",".","3.0",".","3.0","3.0",".",".",".",".",".",".",".","."
"","403
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","Course Total","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Nonfiction","407
001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
408","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
003","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
004","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
408","","13","3.792","61.5","23.1","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Creative Writing: Fiction","Course Total","","69","3.890","79.7","15.9","2.9",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"","409
001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","409
002","","11","3.273","63.6","9.1",".","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","Course Total","","24","3.583","70.8","12.5","4.2","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Creative Writing: Playwriting","410
001","","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","415
001","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","420
001","","23","3.652","47.8","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","427
001","","25","2.960","20.0","20.0","24.0","20.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"Outstanding Figure(s) in Lit","443
001","","18","3.559","38.9","33.3","16.7","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"Topic in Brit Lit since 1900","453
001","","21","3.071","23.8","33.3","19.0","9.5","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"Figure in American Lit","455
001","","25","3.600","40.0","48.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Topic in 19th-Century Amer Lit","001
456","","23","3.452","13.0","56.5","21.7",".",".",".",".",".",".",".",".",".","4.3",".","4.3","."
"Major American Writer(s)","458
001","","28","2.778","21.4","25.0","14.3","10.7","10.7","3.6","10.7","3.6",".",".",".",".",".",".",".","."
"Three American Novelists","459
001","","27","3.538","55.6","18.5","11.1","3.7","3.7","3.7",".",".",".",".",".",".","3.7",".",".","."
"Techniques&Materials for TESOL","515
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old English","520
001","","11","3.545","72.7","9.1",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"Travel Writing before 1800","546
001","","27","3.815","74.1","18.5","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
