"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"Stat Expermntl Design","Course Total","","65","3.328","30.8","30.8","21.5","3.1","12.3",".",".","1.5",".",".",".",".",".",".",".","."
"431","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"431","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"431","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"431","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","","12","2.958","41.7","8.3","25.0",".","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"456
Appl Multivariate Analysis","001","","29","3.672","58.6","20.7","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"461
Financial Statistics","001","","32","3.531","43.8","31.3","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"475
Intro-Combinatorics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"479
Spec Topics in Stats","001","","42","3.429","38.1","33.3","19.0","4.8","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"511
Intro to Biostat Mthd-Pub Hlth","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Linear Programming Methods","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"541
Intro to Biostatistics","001","","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","001","","54","3.481","31.5","35.2","25.9","1.9","1.9",".",".","1.9",".",".",".",".","1.9",".",".","."
"571","002","","61","3.491","31.1","32.8","26.2","3.3",".",".",".","4.9",".",".",".",".","1.6",".",".","."
"Stat Meth for Bioscience I","Course Total","","115","3.486","31.3","33.9","26.1","2.6","0.9",".",".","3.5",".",".",".",".","1.7",".",".","."
"575
Statistical Meths-Spatial Data","001","","39","3.662","35.9","43.6","7.7",".",".",".",".","10.3",".",".",".",".","2.6",".",".","."
"601
Statistical Methods I","001","","45","3.667","40.0","55.6","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"609","001","","30","3.467","36.7","20.0","43.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"609","002","","45","3.578","37.8","40.0","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics I","Course Total","","75","3.533","37.3","32.0","30.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"627
Prof. Skills Data Science","001","","29","3.638","41.4","44.8","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"632
Intro-Stochastic Processes","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"641
Stat Mthds for Clin Trials","001","","25","3.435","40.0","16.0","28.0",".","8.0",".",".",".",".",".",".",".","8.0",".",".","."
"679
Special Topics in Statistics","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","251","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","261","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","",".",".",".",".",".",".",".",".",".",".",".","90.0",".",".","10.0","."
"682
Senior Honors Thesis","261","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698
Directed Study","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","130","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","262","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"709
Mathematical Statistics","001","","19","3.583","42.1","31.6","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","10","3.450","40.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"733
Theory of Probability I","001","","10","3.650","60.0","30.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 328 of 421",""
