"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"299
Directed Study","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"305
Lit des 20. & 21. Jahrhunderts","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
1st Sem Dutch-Grad Stdts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"313
3rd Sem Dutch-Grad Stdts","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"325
Topics in Dutch Literature","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"335
Dutch Conversatn&Compositn","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"337
Adv Compositn & Conversatn","001","","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"351
Intro to German Linguistics","001","","23","3.413","47.8","21.7","21.7",".",".","8.7",".",".",".",".",".",".",".",".",".","."
"362
Topics in German Literature","001","","16","3.625","50.0","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"372","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"372","002","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"372","003","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","35","3.829","80.0","5.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"391
German for Grad Reading I","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"402","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"402","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","7","3.571","85.7",".",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"403","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"403","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"403","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem German for Grad Stdts","Course Total","","5","***","","","","","","","","","","","","","","","",""
"445
Topics in Dutch Culture","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"560
Topics in German Studies","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650
History-German Language","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"655
German Film","001","","7","3.600","14.3","57.1",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"676
Adv Seminar in German Studies","001","","14","3.571","64.3",".","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"681
Sr Honors Thesis-1st Sem","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"709
German Lit - 20th & 21st Cent","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"720
College Teaching of German","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Theory of Teaching German","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"723
Pract-Teachng Undergrad Lit","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"724","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"724","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
