"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","",""
"990","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","38","",".",".",".",".",".",".",".","18.4","5.3",".",".","76.3",".",".",".","."
"999","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","056","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","060","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","062","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"POLI SCI
778","Dept. Total","2324","3.231","29.5","24.5","20.5","10.9","6.2","1.5","0.9","3.1","0.1",".",".","1.7","0.8","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","182","3.170","25.8","22.5","30.8","8.8","9.3","1.1","0.5",".",".",".",".",".","0.5","0.5",".","."
"Sophomore","","391","3.048","22.0","21.0","26.3","15.9","10.0","1.8","1.5",".",".",".",".",".","1.5",".",".","."
"Junior","","612","3.268","31.0","27.6","20.8","10.8","6.5","2.1","0.2","0.2",".",".",".",".","0.7","0.2",".","."
"Senior","","887","3.242","30.0","27.4","20.7","11.8","5.3","1.5","1.4","0.2",".",".",".","1.2","0.2","0.1","0.1","."
"Undergraduates","","2072","3.204","28.4","25.8","22.7","12.0","6.9","1.7","1.0","0.1",".",".",".","0.5","0.6","0.1","0.0","."
"Special","","59","3.504","25.4","16.9","6.8","5.1",".","1.7",".","37.3",".",".",".",".",".","1.7","5.1","."
"Graduate","","193","3.813","42.5","12.4","1.6","1.0",".",".",".","23.8","1.0",".",".","15.0","2.6",".",".","."
"","Dept. Total","2324","3.231","29.5","24.5","20.5","10.9","6.2","1.5","0.9","3.1","0.1",".",".","1.7","0.8","0.2","0.2","."
