"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","349
007","21","3.225","9.5","38.1","33.3","14.3",".",".",".",".",".",".",".",".",".","4.8",".","."
"Engineering Design Projects","Course Total","51","3.300","13.7","43.1","29.4","11.8",".",".",".",".",".",".",".",".",".","2.0",".","."
"","351
001","19","3.553","26.3","57.9","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","19","3.184",".","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","80","3.631","47.5","32.5","18.8","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","54","2.954","13.0","25.9","35.2","9.3","9.3","5.6","1.9",".",".",".",".",".",".",".",".","."
"","361
002","48","2.823","10.4","10.4","37.5","20.8","18.8","2.1",".",".",".",".",".",".",".",".",".","."
"","361
003","41","2.671","9.8","9.8","29.3","26.8","17.1","4.9","2.4",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","143","2.829","11.2","16.1","34.3","18.2","14.7","4.2","1.4",".",".",".",".",".",".",".",".","."
"","363
001","67","3.250","29.9","22.4","32.8",".","10.4","3.0",".",".",".",".",".",".","1.5",".",".","."
"","002
363","69","3.022","15.9","10.1","49.3","14.5","8.7","1.4",".",".",".",".",".",".",".",".",".","."
"","363
003","47","3.394","29.8","40.4","17.0","4.3","8.5",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","183","3.201","24.6","22.4","35.0","6.6","9.3","1.6",".",".",".",".",".",".","0.5",".",".","."
"Elementary Heat Transfer","364
001","127","3.268","40.2","12.6","24.4","8.7","9.4","3.1",".",".",".",".",".",".","1.6",".",".","."
"Engr Measure & Instrumentation","368
001","109","3.202","10.1","38.5","39.4","9.2","1.8",".","0.9",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","68","3.154","14.7","27.9","38.2","11.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Polymer Processing","417
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
001","60","3.608","46.7","28.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
418","27","3.444","29.6","29.6","40.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","87","3.557","41.4","28.7","29.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","424
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","424
002","11","3.091","9.1","27.3","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","Course Total","15","3.200","20.0","20.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Vibrations","440
001","30","3.500","46.7","26.7","23.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Mechatronics Cntrl Rlztn","445
001","15","3.750","60.0","20.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Automatic Controls","446
003","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","447
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internal Combustion Engines","469
001","52","3.462","42.3","11.5","42.3","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery","475
001","8","3.063",".","12.5","87.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","4","***","","","","","","","","","","","","","","","",""
"","491
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
015","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
